Period,Location,Provider,Cash,Credit,Tip,Delivery_Fees,Tax,Taxes_Withheld,Payout,Commission,Merchant_Services,Adjustments,Subtotal,Notes
Mar 2022,Aroma,Beyond Menu,0.0,75.81,3.0,4.99,8.03,0.0,73.41,0.0,2.4,0.0,0.0,"Check against email.
Order Count: 1.0"
Mar 2022,Aroma,Bitcoin Pizza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Bitcoin File Found. Possible No Orders.
Mar 2022,Aroma,Cater2Me,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taxes Remitted by them (not included in credit total either).
Mar 2022,Aroma,Delivery.Com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No file found. Verify $0 sales for this partner this month.
Mar 2022,Aroma,Doordash,0.0,19379.47,38.76,0.0,1393.88,0.0,16625.32,2597.89,0.0,0.0,0.0,"Transaction types found: ['ERROR_CHARGE', 'ADJUSTMENT'] 
Net Adjustments: $-73.25 Payout Records Total: $17349.72 Marketing Fees: $121.77."
Mar 2022,Aroma,Eatstreet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No ES file found - could mean no orders this month.
Mar 2022,Aroma,Ezcater,0.0,3548.0,276.58,180.0,222.2,0.0,2717.48,740.56,89.96,0.0,0.0,
Mar 2022,Aroma,Fooda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Fooda File Found. Possible No Orders.
Mar 2022,Aroma,Foodee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taxes Remitted by them (not included in credit total either).
Mar 2022,Aroma,Future Foods,0.0,18316.01,0.0,0.0,-546.28,0.0,12141.62,6186.27,0.0,0.0,0.0,"Transaction Types: {'Delivery', 'Adjustment'}
Adjustment Orders: {'#AF6C4', '#DC095', '#86199f75', '#138618214312089', '#31746915', '#35F87', '#37930564', '#d23efa29', '#D4E32', '#beccdeb1', '#1FEEC', '#6DDD5', '#001b87a0', '#54899', '#dfdcbb8d', '#1FCFB', '#843825a4', '#416718149936924', '#D32B1', '#857ab9e6', '#534E5', '#3BA48', '#145418368174508', '#A7574', '#ff6a626d', '#596C8', '#09a98e9f', '#64711', '#196718267800971', '#746F0', '#6AF06', '#8742d000', '#69E41', '#2fe2512c', '#62862a9d', '#d0198a51', '#0db88fbe', '#F99CC', '#A8D9C', '#7407e627', '#882118387492821', '#c9a59dab', '#f89684f4', '#8eee2b92', '#4FF2C', '#5F167', '#5ce02ec8', '#6ffafba8', '#48844', '#f3c467b7', '#138618164324636', '#278d759e', '#5545de8f', '#268e9014', '#696CA', '#BD099', '#879418348247874', '#f2ae8a69', '#b13b2339', '#0d3cb440', '#3C119', '#433918356143223', '#782518187054648', '#3d999978', '#6A024', '#748c60ad', '#20991dc8', '#10E47', '#b65a98c1', '#b3579b70', '#F7B1D', '#AA77F', '#A174A', '#5C33B', '#4ed29fd4', '#91B73', '#e88cfc9c', '#6315E', '#A31B9', '#CE352', '#f44e2a64', '#4353E', '#22714c15', '#c992ed6e', '#687b94ac', '#cd17e287', '#8799e3a8', '#6a2e6b1d', '#3c5e6e4c', '#a1f391f1', '#0ae009eb', '#45B2C', '#F8767', '#46408a0b', '#c02ded00', '#7d9c52c2', '#E244A', '#879418308240720', '#aee9adf6', '#a8b36c6f', '#3da3fc67', '#34936', '#76D77', '#53168', '#288F5', '#df4e8eff', '#12062', '#af6e319d', '#3BAD3', '#bbc24b41', '#34dc6dd5', '#F7932', '#b8ad9ebf', '#22273b9d', '#5a3c4459', '#8DAD1', '#029218182278636', '#2b813ae4', '#40ce26b9', '#7BB23', '#b999cc7a', '#FAA4F', '#3A82C', '#e647a54d', '#5B5AA', '#657318186561690', '#093B2', '#82316', '#2a9b45ca', '#913218252627947', '#12d9c459', '#D3C1C', '#344fe765', '#c8171662', '#45492401', '#34497237', '#574b668e', '#39d411a5', '#5e41bd78', '#c28d6823', '#f4f42407', '#767518303825755', '#A1EBA', '#b5156490', '#2E252', '#D684D', '#588497c2', '#638FA', '#7d3b5be7', '#2dad55a9', '#bccfccc4', '#1c76634b', '#085f1dff', '#ec150435', '#40e9d5f8', '#D5918', '#04d9d859', '#d492aaa4', '#EC4A1', '#E6C51', '#46a60744', '#145418308179218', '#4d451c94', '#ae20d6fa', '#BEA93', '#9118cf36', '#1b27ddd7', '#029218152292562', '#BF729', '#d2a7e9c9', '#b2a7704e', '#6A552', '#81E69', '#e8d3f9c1', '#421f7a64', '#471E0', '#61060', '#150618221218484', '#11D9B', '#362c75da', '#1f7b1151', '#d1962b41', '#fc81bfe0', '#5B7A4', '#063218317444567', '#699BA', '#27a68df2', '#97499', '#BFE62', '#a93e7541', '#267618196788982', '#38eb34f2', '#3afafe44', '#340318167066217', '#54025ccb', '#04965', '#CB4A2', '#43433', '#74E33', '#03e2d481', '#2BBD8', '#4C4E3', '#EC869', '#01E09', '#913218162665666', '#d9e44eab', '#D96BB', '#19C3B', '#ab0a0dd2', '#5AB3F', '#4339a512', '#CEE92', '#913218142624260', '#33BFB', '#70773', '#23a0412f', '#0FDFB', '#7D4AF', '#5ba90828', '#7E962', '#8BCAD', '#604fa0e0', '#f4d6582d', '#a0ceed87', '#f186a657', '#61b525f0', '#4CB5F', '#3D1C2', '#9040f9f8', '#5D655', '#C0611', '#668518289886132', '#218A7', '#006D0', '#F90FD', '#63A33', '#0F9E0', '#092deec0', '#1141d77d', '#8c003aba', '#514A5', '#27daf70e', '#5301b98e', '#10A2C', '#56539', '#7458ca86', '#E152A', '#8F2E1', '#F2287', '#DB34C', '#1083a6d7', '#2C70A', '#C3D41', '#D8792', '#278918241001029', '#87EAF', '#F3311', '#76beaed4', '#217918416393658', '#340318137096697', '#0CA95', '#E9507', '#58d3b7a6', '#67BCB', '#F9329', '#19ac34a1', '#FF021', '#a02ebf99', '#C40AC', '#11F9B', '#9654E', '#4D0A9', '#3ECFD', '#CCCA0', '#5a1e9fdd', '#eabd6a97', '#6c354ae0', '#636BB', '#35B47', '#0df4f5d7', '#5AE1C', '#7176a9c6', '#871AD', '#08548791', '#d916cf49', '#343218230587050', '#822671f9', '#5B338', '#a0d687d8', '#db879c96', '#CA2A6', '#6b6a1d8a', '#98C92', '#84cbac6b', '#20E1D', '#a0dcd713', '#d68966f3', '#956c278e', '#2a231745', '#3b1d115a', '#8ea6cf6d', '#380B6', '#00292', '#E5113', '#6B49A', '#3027F', '#3113B', '#f46b38a5', '#ADFF3', '#efc6dfbf', '#07C39', '#51EF7', '#0afde0aa', '#d14fdac1', '#24469', '#4ea0e736', '#2043C', '#149c739a', '#DAAA0', '#D320A', '#0c08755b', '#AEED8', '#21C06', '#728f4a7a', '#06e54f1d', '#b14d64ff', '#09934cc4', '#7337A', '#7954e25a', '#92f93dd6', '#0aff79f9', '#CCA2A', '#E41D2', '#C44D6', '#A3A88', '#99e6f3fc', '#f6588f1f', '#3C030', '#04ace519', '#75f9c4f7', '#47fa28f1', '#9B3D6', '#8979B', '#62957f0a', '#441f26c3', '#b8636d43', '#B32EC', '#57FD2', '#c994b8b2', '#b4b51d6c', '#3f4c445b', '#38a95500', '#dab11ebd', '#32eb421a', '#5b3f5b8f', '#8c149d84', '#7dc7b3d7', '#701f4ace', '#F958F', '#ac64f87f', '#8f4400b1', '#8E68A', '#5E7FB', '#df001ddb', '#897618435313207', '#5918D', '#a43eafcf', '#2EB5E', '#41C67', '#3E08A', '#83f7c1d7', '#b37d5a8d', '#5961D', '#D5FDB', '#FEF0F', '#679db097', '#97EC1', '#9D584', '#94ecd3d5', '#B5B84', '#f5f77edf', '#92ce1864', '#52348', '#CFF18', '#56639', '#ca15e52d', '#f1f71896', '#149176f7', '#4963E', '#d3d1d040', '#16b85b9a', '#72f38cab', '#FD40A', '#B1B24', '#127E6', '#F310D', '#8e4ab659', '#7140A', '#d2468f53', '#71692330', '#6C45A', '#66A85', '#5a48ace4', '#2e92fdbf', '#1E9B0', '#be491a54', '#FE08D', '#819734c7', '#8f36ee30', '#e04cd154', '#695dc90a', '#ddc96dd4', '#FC56A', '#03581', '#4A747', '#4DF2E', '#C3944', '#b4d579a9', '#e3962439', '#f2b017cc', '#a19360a9', '#29EA9', '#d8b4f8ad', '#357F1', '#2DE06', '#FCBD2', '#51e78a78', '#3cfb96cb', '#959718306110454', '#488cf2ef', '#01B47', '#2ee283df', '#69fb6e2d', '#63299', '#8b0e8191', '#3ED4F', '#9F666', '#53BEE', '#5F4E5', '#6c4454eb', '#5DBEE', '#20392', '#75C47', '#471db909', '#8831dbbc', '#36005', '#B0CA7', '#14c953b6', '#905c0e43', '#5E814', '#602018317204411', '#961B3', '#50739dbf', '#B3EAD', '#8B930', '#9F29F', '#0302A', '#143c9401', '#0ca4df6e', '#1e83c2d7', '#44cf742c', '#FF43B', '#949e6d73', '#cf444a9d', '#d37fa32f', '#863bcd0f', '#930beb78', '#f00daad3', '#C4476', '#B5501', '#23F6C', '#752C5', '#5AB51', '#718DA', '#EE39F', '#037118137259873', '#E1C65', '#8e8f6ac3', '#3E2AF', '#6b127c92', '#9217423f', '#1662a3f5', '#89C38', '#767518293826192', '#f4aba438', '#EF0A2', '#8b383e32', '#871281fe', '#DC528', '#ab4a288d', '#83ed3021', '#4d47b56f', '#9DAF2', '#bd690e30', '#9F1B9', '#437418236336529', '#A5CDF', '#433918356105476', '#60FF5', '#CB7F5', '#875018225993001', '#3ebffab6', '#9ccacb57', '#ABD19', '#62aa2a7a', '#6C5E4', '#fc7ea7e5', '#89c20f64', '#e59da738', '#71A6E', '#4f103397', '#782518257056351', '#493218297626317', '#02a76464', '#4bfc20cd', '#43e29ac6', '#F7067', '#9e9b4b79', '#2c53df40', '#c06bea21', '#67fe4ab0', '#7b910e43', '#79dfdcde', '#960a4798', '#E0180', '#7d596430', '#0DF36', '#314f8105', '#F2B61', '#EAB5C', '#125DB', '#B093F', '#b28d1c62', '#28cacde6', '#522CF', '#011D3', '#1F582', '#642ff6d3', '#d30bb44e', '#9f335d53', '#ae45d1fa', '#9382F', '#916d525f', '#801718427950052', '#c7a46d0d', '#65fcda0b', '#176EE', '#a38ab825', '#4415B', '#0C053', '#01c976f7', '#1498E', '#433918416100359', '#4FAD7', '#7DC7F', '#8017fcd2', '#C481B', '#EF09C', '#DC1DA', '#229618245394661', '#f621dec0', '#C0D21', '#D0EF3', '#A95E6', '#858DB', '#4911F', '#538818266960253', '#4DC1F', '#A9926', '#371555c0', '#493218407629677', '#f899e6a5', '#6690D', '#0895386c', '#10DE3', '#167a6373', '#d86afd92', '#1c348d0e', '#e6edef16', '#C8A06', '#30055e9b', '#3e8e7042', '#196718267804834', '#f217bd9d', '#2b82a03f', '#DAE56', '#C6B14', '#BBBC5', '#6874103b', '#b5d8b01d', '#7DA05', '#9ec84617', '#7ae440a0', '#a9a6527e', '#dfaeddf0', '#782518167053795', '#BBF79', '#230d765c', '#493018299804825', '#bf3a667e', '#08E4C', '#52b08a32', '#e7c1ee70', '#eee19c14', '#44697', '#398318412853346', '#EB5F0', '#130918148547334', '#ECF81', '#DF366', '#59880', '#130918158586188', '#45E38', '#4c102a18', '#cd205125', '#4E22A', '#f4d85ca5', '#a7829efa', '#388f9b84', '#a3136e56', '#552918211396608', '#063218327447424', '#f4a49141', '#3B011', '#488DD', '#c2626f77', '#0E74E', '#9a49c35c', '#3FF31', '#3bda426a', '#d1586a06', '#8C42F', '#92154b31', '#333C9', '#9325dbe1', '#185118272514642', '#f22096ce', '#6d88f1f4', '#EEEA2', '#8f359d99', '#3bbe4588', '#A8C51', '#3bddbda6', '#ed20c37f', '#538818266960360', '#472d6e7b', '#123c0ed2', '#14B50', '#af360511', '#349718203046774', '#6d6df75f', '#438318255678244', '#0B757', '#2f9897e6', '#05e0f642', '#CE51C', '#29026fa8', '#899fb4e9', '#4E84D', '#31A86', '#AF685', '#47e7f1da', '#0e2e5a6f', '#dfecee6d', '#39591', '#2fa92af6', '#f5ba4b2f', '#8f87cb04', '#76532231', '#c3ad930d', '#ad8a5623', '#af2b24df', '#a56c94f1', '#230218218219473', '#7658474c', '#efff32b4', '#04365926', '#9b202935', '#588718172390180', '#27b3330d', '#75ccc99d', '#C54E7', '#6ff0ea37', '#09D50', '#5013f885', '#5FBDE', '#4855bc26', '#853318127856722', '#edc63651', '#7af5792a', '#12c13ef6', '#940bb1f4', '#074318338300674', '#4e9d1c21', '#dac71ab9'}
adjustments || -39.81
reimbursement adjustments || 0.0
VR STORE | ORDERS | TOTAL
20491 Alton Pkwy, Suite B, Lake Forest, CA 92630 | 709 | 18316.01
"
