Period,Location,Provider,Cash,Credit,Tip,Delivery_Fees,Tax,Taxes_Withheld,Payout,Commission,Merchant_Services,Adjustments,Subtotal,Notes
May 2022,Aroma,Beyond Menu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Check against email.
No BM file found - could mean no orders this month."
May 2022,Aroma,Bitcoin Pizza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Bitcoin File Found. Possible No Orders.
May 2022,Aroma,Cater2Me,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taxes Remitted by them (not included in credit total either).
May 2022,Aroma,Delivery.Com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No file found. Verify $0 sales for this partner this month.
May 2022,Aroma,Doordash,0.0,0.0,36.65,0.0,1588.99,0.0,-3137.54,3004.9,0.0,0.0,0.0,"Transaction types found: [] 
Net Adjustments: $0.0 Payout Records Total: $0.0 Marketing Fees: $169.29."
May 2022,Aroma,Eatstreet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No ES file found - could mean no orders this month.
May 2022,Aroma,Ezcater,0.0,4153.29,303.4,215.0,260.29,0.0,2767.47,724.66,88.58,852.18,0.0,
May 2022,Aroma,Fooda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Fooda File Found. Possible No Orders.
May 2022,Aroma,Foodee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taxes Remitted by them (not included in credit total either).
May 2022,Aroma,Future Foods,0.0,18486.12,0.0,0.0,-619.91,0.0,12217.56,6378.99,0.0,0.0,0.0,"Transaction Types: {'Delivery'}
Adjustment Orders: {'#7EC9D', '#682418872241507', '#4823f8e5', '#8576153d', '#bbd027a3', '#3ada15cc', '#098D4', '#E583C', '#455DB', '#FFD29', '#579C9', '#a3328fca', '#53FC1', '#2a8d51fe', '#fd18c57a', '#81d9798c', '#d03c94bf', '#0da2577d', '#E4759', '#027B2', '#9C052', '#e6f9faa2', '#8A4D5', '#BDAD2', '#63e5a0ea', '#e721a5b5', '#6AB78', '#F6012', '#B1E3F', '#714CD', '#12E2B', '#5A205', '#C02F2', '#6ff99ac5', '#383b270c', '#BAAB7', '#87e87655', '#5509eb08', '#BC219', '#2afa9fc9', '#390ED', '#eb0b60ec', '#35903', '#34C65', '#C6C8C', '#0804A', '#2484a775', '#8ac5c5a9', '#28ad6962', '#c52626e6', '#9E165', '#F36CE', '#832041cf', '#148AB', '#6E274', '#1367e4bb', '#D5F4F', '#8ea9a472', '#8A4A2', '#F9CC4', '#B508E', '#80118cfe', '#D4ADF', '#B5AB9', '#FE2F2', '#67B3B', '#CEC51', '#67762f55', '#64753162', '#EAA12', '#763D3', '#9fa448b2', '#f1d86f10', '#4d28d94f', '#C229D', '#cf5fc848', '#C3F3F', '#47B9A', '#ae1a5c4d', '#DCFBC', '#DE53B', '#40276', '#cf713785', '#CA804', '#a0d6d569', '#b5f1aa36', '#1bb995dc', '#80EC8', '#B4B68', '#ab79fc0b', '#09B72', '#6c8fd87a', '#90B07', '#bc5198d9', '#383819000916087', '#B6BF4', '#1053e452', '#F4383', '#7e5665f2', '#584218954189260', '#E2929', '#97f113ba', '#f710f7ed', '#42C70', '#6591de35', '#8db6d182', '#9e105b05', '#C925A', '#B3DBD', '#9601c28a', '#E6F3C', '#6B1CA', '#33c72409', '#822C1', '#B581B', '#fa98a778', '#C1500', '#76945', '#EEBC1', '#68247', '#D5C6A', '#730D5', '#bae28f97', '#eed71601', '#047c8323', '#30805fb9', '#cf54e4e9', '#ae8ac10a', '#E0B81', '#A2728', '#57a3a657', '#0024c103', '#9CF2B', '#06FE0', '#856718919853506', '#FCC67', '#b0e38f53', '#057dd2d4', '#16375', '#327ce276', '#98af6844', '#7d9931a0', '#3C05F', '#7db7d988', '#9428F', '#92449', '#0019A', '#3d258885', '#31ADF', '#2fffe0d1', '#fa0b111c', '#40B58', '#225818951061089', '#14d5e617', '#53B98', '#1a6d58b6', '#bf61409a', '#08521be7', '#600818901763237', '#9a7db468', '#8647cf2f', '#D7BA5', '#FEF56', '#41c0fc52', '#404018894482132', '#6CB2D', '#166518826860728', '#01E99', '#AF11F', '#6973f390', '#21920542', '#f0364450', '#9fbeb9d2', '#47405bcb', '#e6c8d3f7', '#9E725', '#0031C', '#e35491ea', '#4F5DD', '#917F3', '#217c7a0a', '#9AEEF', '#834d0dd8', '#DD636', '#1264A', '#6902B', '#a26a3c87', '#d4fbee92', '#e5de1b63', '#fd65a859', '#546528e4', '#EDC0B', '#3EC94', '#416DA', '#13ACD', '#580EC', '#F3B6F', '#9A4FE', '#379765a2', '#440cdecb', '#010618982224228', '#CA700', '#A3FD7', '#72a1e4a7', '#510419003072348', '#e6c7e784', '#87D9A', '#ddfde4b6', '#968218865903409', '#01FD3', '#DB2C7', '#FBFD8', '#efb7442f', '#81fd9ca2', '#D7185', '#1957C', '#bd3d2573', '#B044B', '#F436C', '#45d934be', '#E56CB', '#6AC25', '#656467f8', '#A4246', '#aba3bd7b', '#4D8BA', '#d9611534', '#ca094c00', '#d169237b', '#56cb8ec3', '#3274b49c', '#4215B', '#ee73a71f', '#12b8cd19', '#db8b1308', '#F6FD1', '#252856ab', '#477EB', '#c77b4b40', '#b72fa534', '#2d6007da', '#918718746224316', '#3f37f8f5', '#b835a920', '#983618748165879', '#f299099d', '#1534E', '#25EC6', '#ECEDA', '#7110f211', '#7FB1B', '#1890F', '#BD3D4', '#2EB9C', '#A13B4', '#d9515ed9', '#eedb248e', '#7AE3A', '#738ff3e5', '#B2659', '#956E1', '#B30A4', '#C5A12', '#871018798160430', '#890f544e', '#3B336', '#abc513c7', '#11bb4ff2', '#FACC2', '#FF4A0', '#795618855902234', '#60ed030e', '#BB31B', '#e1a0e4fa', '#8F3EF', '#7486C', '#dfcd6d66', '#e0f64f89', '#7f5450ba', '#752918761946986', '#5AAF0', '#B5A38', '#BA840', '#ADF19', '#b1e461f6', '#9B3B9', '#633f9d8d', '#2c7d083c', '#C335E', '#55208', '#af72ce6c', '#FD3BE', '#5D29E', '#4281E', '#350918760231951', '#96c55d02', '#38504399', '#23745', '#a2554bda', '#94bf369c', '#3fb3a9c3', '#538d976b', '#82A5D', '#AFBD8', '#88282023', '#21ED6', '#7F91E', '#AD88E', '#8C204', '#37ab8d2a', '#ec40108a', '#3E834', '#f3a00de6', '#7cc9b66a', '#8E37B', '#1236928f', '#A2B58', '#a981b076', '#9bc18b4b', '#732DB', '#75209', '#220e67b2', '#cf325ce4', '#5A811', '#1567bfbb', '#68c56c4e', '#a2b264e3', '#37708', '#B16BC', '#795618895900116', '#4A701', '#6D36D', '#D0EF6', '#DB0B6', '#59bed166', '#185e49f1', '#c679d8f9', '#B37A3', '#7C65C', '#12de45ae', '#711518749450538', '#968218805936952', '#feb7b877', '#d5f40176', '#6D9C5', '#B5F05', '#0AC25', '#6a12192f', '#564018931173551', '#FF589', '#837418950956959', '#79B3E', '#4e0afd51', '#9498ee6a', '#58b6947e', '#A3BB1', '#605223c5', '#d22f3003', '#2496cdc8', '#79799d85', '#a4b10318', '#191718936595903', '#ca27daf6', '#53b19042', '#07888248', '#316E6', '#90FEC', '#0307e034', '#5C207', '#8358e04f', '#550518742927066', '#992ef108', '#b1de326e', '#BBB76', '#2213ec5a', '#c6a9678f', '#2335A', '#a760b697', '#6a24c316', '#0ED0E', '#d32087e6', '#adf5e8c6', '#732f1113', '#72A1B', '#92E2B', '#3B563', '#FDCD1', '#f56d9413', '#4ABD8', '#6b29c9cd', '#166518846864674', '#135E4', '#b0314d8f', '#a97c5e5e', '#9101749c', '#338be4d8', '#1A34F', '#8C316', '#8180D', '#33409893', '#DA92A', '#FB04D', '#E2039', '#59B49', '#72b1605d', '#568018827642676', '#103acfb1', '#C52C2', '#2ed23115', '#ABF53', '#550518752923343', '#968218845900488', '#6f7210aa', '#049819028430087', '#2a2e8eae', '#E3063', '#e723472b', '#280A2', '#AE460', '#291bd433', '#6a6f5659', '#90A46', '#d459b31a', '#35283', '#c7605ab9', '#0f3a54aa', '#75170bc9', '#aabcb55e', '#081C7', '#c369b029', '#41d111fa', '#9b4e819f', '#b912331c', '#0eaf88e1', '#be5167d5', '#DD831', '#872118818699926', '#afd14066', '#69F7D', '#3CF82', '#28006', '#1146184b', '#d78faea8', '#edfd47c7', '#D107F', '#d201d4a4', '#053718823236813', '#6AC94', '#4CBAA', '#4b72451d', '#1271e0c1', '#72C4F', '#AEBDF', '#522d020e', '#97a85a71', '#3c038d25', '#9820A', '#EEC7C', '#0FE75', '#6c8d872e', '#4f8d9997', '#b5d2d7cc', '#249836e4', '#3cfe22d9', '#6aa98e16', '#7cc13d49', '#F797F', '#DBBA2', '#69334', '#DEFC2', '#a2a525aa', '#7D990', '#831E3', '#992919006650584', '#c91d5177', '#B7711', '#249C3', '#B7E5F', '#7a4b882a', '#B7EDB', '#aa684ae4', '#4C55B', '#B2E9E', '#F97A7', '#5d7dc574', '#1E14C', '#f2fc2916', '#104C7', '#1FDB7', '#05DC2', '#34614', '#EA323', '#6a82855b', '#c0855d18', '#9F4FD', '#b8e7ffd9', '#C1809', '#7de979ac', '#06cdaf57', '#53602', '#F8D42', '#fb736590', '#4FB5F', '#FE30C', '#404018794484286', '#3623bd44', '#62C9B', '#498de8bf', '#01fbda50', '#46DBF', '#48EA5', '#026e5b53', '#48a71691', '#1551D', '#195BA', '#66D35', '#9629d704', '#95950', '#13583', '#e997d6e9', '#798C8', '#10E8C', '#dae3b7b4', '#68EB9', '#8baa8f36', '#4199032d', '#4C4D3', '#dbb47ebe', '#5B2FD', '#568018797614045', '#70243e13', '#C4C91', '#e6422f54', '#EC856', '#842BF', '#98cbd0ab', '#AAD5B', '#347B6', '#49239', '#fb772b96', '#7b4e500a', '#ac53ead4', '#51C61', '#4ED5D', '#0fb74c08', '#942f5f8e', '#fc21316e', '#30B7B', '#2ddff3b0', '#b5e817cc', '#FD9F5', '#54D68', '#AFE68', '#4f6a11e3', '#8f385245', '#6075E', '#70B5B', '#fdc3f968', '#2bbcf4a0', '#08D91', '#acb2e96c', '#cdc4874e', '#86413b38', '#B3F1E', '#7596761c', '#EC6C9', '#86fafec0', '#047218859002778', '#783838a4', '#ae137b48', '#F1840', '#301618940521691', '#620A4', '#0bae6a96', '#1d971a16', '#9857d1ae', '#5b8b131e', '#BC5DD', '#de3eb42b', '#362392d1', '#338918745113793', '#772DD', '#DF1DC', '#3EFF3', '#0f71813f', '#a39c541f', '#9d5b9b8c', '#c84aedad', '#803157b8', '#F5D87', '#6fee0e04', '#C4528', '#9EC83', '#611b518c', '#D071E', '#26658', '#0CF5F', '#887E6', '#060FD', '#b4a327ec', '#084553aa', '#6C10B', '#c12cd8f4', '#e2247c3f', '#3F94A', '#1eea12b9', '#7464047f', '#66A3A', '#732418880920811', '#67badaac', '#16402e8c', '#4BEC7', '#7acd4242', '#5db65e0f', '#BA9BA', '#26182', '#2E7B9', '#E03EF', '#3537200e', '#982DD', '#C9854', '#883F6', '#14a2ac92', '#738C7', '#235018950325278', '#c75bffe9', '#0F0D9', '#eeeddc89', '#2E89B', '#25fb458e', '#60E36', '#091FD', '#0E11D', '#0834b1e7', '#d59aaff4', '#01302b17', '#8b52fcb5', '#AB423', '#9d1a3ec1', '#de931fc0', '#b01e4e34', '#54922', '#4BE6D', '#d40e7b61', '#3f87629b', '#9bfbb57c', '#5ea3d399', '#BA036', '#38d525f0', '#23ad1392', '#60ca13d3', '#6E852', '#e8f5ee06', '#3D4BC', '#39676', '#13DC0', '#55dcdc27', '#59548', '#FE160', '#311a812f', '#0574D', '#86BDA', '#71e8818b', '#583b84b0', '#70fc7be7', '#5BB21', '#007847bb', '#E8368', '#5d54e43e', '#B0C0B', '#dd700cc8', '#d1c8318b', '#D9A78', '#9fbb2d0d', '#fe3bd6f6', '#cc73ec2e', '#9dd13a3d', '#B51BF', '#7DF15', '#A43CB', '#60E64', '#2FCD2', '#F3AD2', '#0FBC0', '#1E81F', '#38072', '#3fd3fc3a', '#C89F5', '#795618815909131', '#FE53F', '#15061', '#A86E0', '#48084', '#1EAD0', '#1D79A', '#A7AE6', '#AABA6', '#7C2BC', '#534b5497', '#4f6f753f', '#83f4aded', '#7F752', '#97A37', '#3a48b129', '#f18666ce', '#e5cc25ce', '#80b24c95', '#833D9', '#56540', '#29000', '#3928B', '#7D0BC'}
adjustments || -64.57
reimbursement adjustments || 0.0
VR STORE | ORDERS | TOTAL
20491 Alton Pkwy, Suite B, Lake Forest, CA 92630 | 712 | 18486.12
"
