Period,Location,Provider,Cash,Credit,Tip,Delivery_Fees,Tax,Taxes_Withheld,Payout,Commission,Merchant_Services,Adjustments,Subtotal,Notes
Oct 2022,Aroma,Beyond Menu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Check against email.
No BM file found - could mean no orders this month."
Oct 2022,Aroma,Bitcoin Pizza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Bitcoin File Found. Possible No Orders.
Oct 2022,Aroma,Cater2Me,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taxes Remitted by them (not included in credit total either).
Oct 2022,Aroma,Delivery.Com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No file found. Verify $0 sales for this partner this month.
Oct 2022,Aroma,Doordash,0.0,0.0,61.25,0.0,1862.49,0.0,-3580.37,3481.24,0.0,0.0,0.0,"Transaction types found: [] 
Net Adjustments: $0.0 Payout Records Total: $0.0 Marketing Fees: $160.38.
DD Drive: $401.81. 40 orders."
Oct 2022,Aroma,Eatstreet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No ES file found - could mean no orders this month.
Oct 2022,Aroma,Ezcater,0.0,5852.42,407.58,185.0,378.33,0.0,4454.53,1248.15,149.74,0.0,0.0,
Oct 2022,Aroma,Fooda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Fooda File Found. Possible No Orders.
Oct 2022,Aroma,Foodee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taxes Remitted by them (not included in credit total either).
Oct 2022,Aroma,Future Foods,0.0,12461.45,6.28,0.0,-196.75,0.0,8431.14,4213.97,0.0,0.0,0.0,"Transaction Types: {'Delivery', 'Adjustment'}
Adjustment Orders: {'#66b13e19', '#7E6E9', '#6e46d310', '#460d8cba', '#CE8FC', '#36B34', '#B0EAF', '#50a679d5', '#7fbc45a4', '#4EAD9', '#615f3f9c', '#3e93e084', '#3675B', '#34aa5627', '#501720482963464', '#350CA', '#1b547d33', '#631020381151345', '#9f2274d0', '#dce34fff', '#f45e0838', '#B261F', '#03DF7', '#bc251b33', '#bb3a2048', '#5d569839', '#B3715', '#d36c7bb6', '#011320475591689', '#1ED38', '#62672a39', '#f4d0ab3e', '#1577ea4d', '#E07E0', '#a015c99f', '#8d0952fc', '#6824fcbb', '#968de41d', '#148920489235222', '#2F5E0', '#328468d1', '#b33b3caa', '#994220288853133', '#160c63ac', '#26df62aa', '#539720284896520', '#2eac0892', '#1A3F1', '#AC4BC3B5', '#a8c869c2', '#749c02ba', '#d08b3b70', '#ec0edfa3', '#a8c22514', '#aa26c927', '#12b11a18', '#0568135a', '#273E3', '#7d9e94c8', '#261f388c', '#310320544612284', '#55910c86', '#df3e0a11', '#40299', '#a6d10dc5', '#487CF', '#3B93E', '#2cfb1637', '#a917a225', '#8E749', '#74723f52', '#23FCD', '#de92eb2e', '#9ca6fe18', '#93EDA', '#eb6ec807', '#5ADE3', '#9f464ca4', '#1813db17', '#ef58862e', '#7639d5c9', '#39816', '#638d72ef', '#DF617', '#934C5', '#717cdee7', '#6550a1bf', '#f4010940', '#2c948de2', '#b58a37cf', '#bf0f53ff', '#B2854', '#310320474613112', '#419F3', '#011320485590775', '#fedf059f', '#C1719', '#a7340a24', '#f90d8465', '#AE7E2', '#51A77', '#1D216', '#0AFB6', '#a492e3d5', '#5688ae46', '#88400a8f', '#ccbfa37d', '#65858e5a', '#108120284916090', '#1794aa64', '#358170da', '#90da60bf', '#c0d52ef7', '#101220411001929', '#86ec8e75', '#e9ea671f', '#f5b7dfdc', '#838120306470516', '#a3389d19', '#cb6e1722', '#9752271d', '#f14d99d8', '#78bc9f71', '#1E7E9', '#825bac6e', '#e303d1c3', '#18472a8c', '#368BF', '#7fe43b69', '#928bb07c', '#540c30a5', '#c3526d66', '#f6ba45d9', '#33024', '#c39426e8', '#75a97e4b', '#724e220c', '#FCD26', '#03e160dd', '#A4E2A', '#285520337936943', '#05e96ad1', '#C0964', '#813d5f9f', '#EFFDB', '#7e0684c0', '#051210c4', '#4F553', '#999320475214189', '#a6ef9b40', '#4f2fa864', '#02257d17', '#8f8b1fba', '#0179B', '#0635c933', '#5e69eb01', '#E68F7', '#e2510101', '#9537eab0', '#148920479236488', '#f3c02ace', '#db9a5a9f', '#f6b53034', '#4da5d1da', '#507820346691720', '#876ffa9c', '#534320398628150', '#a4052f06', '#9f8aa386', '#9BB6D', '#5B32A', '#AACB9', '#724420303148085', '#312B4', '#4dccfd51', '#9ECAF', '#36776527', '#764869e7', '#e2947867', '#4BF2B', '#48d3edf7', '#23534012', '#776920405990077', '#f85ab545', '#c1072fd1', '#3E2A5', '#af845b66', '#4bc3b29b', '#484f367c', '#7be3f519', '#F4CB4', '#d34c2aeb', '#f8c28722', '#af629ea9', '#967F7', '#07707', '#F2F9B', '#1F4C8', '#481220448219250', '#ede26f7a', '#468d6b75', '#bbda2e9e', '#17f4bf7e', '#c82edf43', '#acb49fd1', '#155520312890598', '#24fc3a3a', '#2173beea', '#8f4613a2', '#61BA4', '#9744420e', '#45b995f6', '#102920360696346', '#27e0d444', '#A5DC3', '#2d990216', '#040FB', '#14297026', '#ab1c50c8', '#665820278771310', '#83d15cc3', '#29bcdc31', '#389f428b', '#930E2', '#9701287e', '#5cfccdb2', '#24EB9', '#16893a81', '#91cce0c6', '#ab287dec', '#E9A38', '#bc025fd0', '#34E91', '#cad2403a', '#657820314459706', '#286820423998140', '#927EC', '#f4c44703', '#f94e834d', '#85278', '#07484a17', '#ef92a612', '#21D3A', '#d6d6b547', '#c6dbb689', '#6c58e58c', '#9dae6032', '#456820473789193', '#2375B', '#620920549580886', '#b2eadf38', '#861a1cd7', '#6c159c3a', '#666820402159381', '#254c47ca', '#d43c5951', '#e92ce56b', '#E88CA', '#46946e2f', '#133C8', '#93c21fbe', '#456820473799279', '#93BE2', '#16c31097', '#292320509900726', '#3a80e897', '#96fd88bf', '#89840347', '#487E8', '#9437d525', '#15f60dfc', '#8ade5039', '#D4D54', '#26CA7', '#c025425d', '#e01b08ac', '#DAD6C', '#53a2cda4', '#f89e08f3', '#a5108d2a', '#14296a2b', '#2F7EA', '#3cb471ec', '#d87f62cd', '#d99795e2', '#5FDA0', '#485299b4', '#559FE', '#87F90', '#937804df', '#e5e6f603', '#A3306', '#d681fa31', '#aa6a6fd3', '#7784c74b', '#0d7a0dd7', '#2e75698f', '#c36448fa', '#d1f3b90f', '#4ebdc602', '#7AE5B', '#7c4c149d', '#e953d386', '#b11564f1', '#babab615', '#8097D', '#22c2a7c4', '#eeb7bb89', '#46C09', '#562ccd58', '#077420309053623', '#2b5fdde4', '#185620a2', '#153220479239915', '#4c06e4c6', '#053120475700087', '#E17BA', '#fc2ad658', '#45e26063', '#4052C', '#87044619', '#651232d9', '#70d45e12', '#034c92fc', '#922720562779822', '#192520439928643', '#6b33cfe2', '#60070885', '#5ff63a74', '#4246d698', '#8339a76b', '#334920340455059', '#b2b34731', '#334920330444489', '#a94c0714', '#e17245d2', '#CD79B', '#f37b3051', '#fecfc0e1', '#90e52c39', '#9fa2bb75', '#270220278661262', '#bfffc59b', '#3c171307', '#C9ED6', '#696020504815717', '#a53f9ef2', '#AD2B7', '#681e06fc', '#e97fb5c3', '#406C6', '#cfcfd1aa', '#7500C', '#319720391932558', '#AD86D', '#6cbff01d', '#49309def', '#8f98e9e8', '#A9693', '#2C729', '#564d8038', '#155520302890418', '#0822D', '#B7B57', '#0c9811a0', '#7177ed86', '#b5ba2f79', '#b274bd23', '#077620286402738', '#42bfd367', '#43307', '#C9D90', '#ff60dcc4', '#776920455999168', '#d2892e2a', '#de5282ab', '#bb3c3236', '#d6ddd97a', '#b861c9b7', '#1989f6d9', '#99829a61', '#d27fce5c', '#29c9b13b', '#330041ac', '#455b0864', '#a258c802', '#4a05674e', '#4676ccd3', '#424b88a7', '#052f73f1', '#d138a33e', '#7d263088', '#c4d4da69', '#467820362430205', '#30D33', '#18093ed2', '#a5aeec94', '#27220', '#ea4814c6', '#CB116', '#7f90a5d5', '#FAD28', '#0F488', '#303BB', '#8728dfdd', '#1a09866a', '#7de01e87', '#4D800', '#648B5', '#186ba222', '#023120521084746', '#f9963f50', '#702010ee', '#de69f4c7', '#1f724512', '#9dac1961', '#501720562961487', '#0012016f', '#5c779e22', '#71f18de8', '#24714203', '#d178f247', '#04C4E', '#efa2e3ca', '#446DE', '#6EDA2', '#27da6e37', '#0dad431b', '#A47D3', '#860c82ec', '#925CB', '#f1ff80ed', '#147ba2ff', '#6d7b408c', '#5DA14', '#dd1afa9d', '#723320448183421', '#11d97208', '#cc49fe12'}
adjustments || -39.77
reimbursement adjustments || 0.0
VR STORE | ORDERS | TOTAL
20491 Alton Pkwy, Suite B, Lake Forest, CA 92630 | 484 | 12455.17
"
