Period,Location,Provider,Cash,Credit,Tip,Delivery_Fees,Tax,Taxes_Withheld,Payout,Commission,Merchant_Services,Adjustments,Subtotal,Notes
Sep 2022,Aroma,Beyond Menu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Check against email.
No BM file found - could mean no orders this month."
Sep 2022,Aroma,Bitcoin Pizza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Bitcoin File Found. Possible No Orders.
Sep 2022,Aroma,Cater2Me,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taxes Remitted by them (not included in credit total either).
Sep 2022,Aroma,Delivery.Com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No file found. Verify $0 sales for this partner this month.
Sep 2022,Aroma,Doordash,0.0,0.0,148.39,0.0,1561.54,0.0,-2844.82,2849.66,0.0,0.0,0.0,"Transaction types found: [] 
Net Adjustments: $0.0 Payout Records Total: $0.0 Marketing Fees: $143.55.
DD Drive: $456.53. 43 orders."
Sep 2022,Aroma,Eatstreet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No ES file found - could mean no orders this month.
Sep 2022,Aroma,Ezcater,0.0,4222.61,389.0,165.0,261.3,0.0,3240.6,876.59,105.42,0.0,0.0,
Sep 2022,Aroma,Fooda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Fooda File Found. Possible No Orders.
Sep 2022,Aroma,Foodee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Taxes Remitted by them (not included in credit total either).
Sep 2022,Aroma,Future Foods,0.0,12144.15,2.82,0.0,-180.1,0.0,8131.77,3533.07,0.0,0.0,0.0,"Transaction Types: {'Delivery', 'Adjustment'}
Adjustment Orders: {'#8fee38c0', '#525820186032060', '#30f7b68a', '#3e612e47', '#07de89c6', '#dfc14671', '#9073aece', '#87deeadd', '#62d6709a', '#077620146497165', '#9B694', '#91ccf49c', '#306ac515', '#822620138781549', '#7944F', '#6B48E', '#5b64f452', '#fcd6d54e', '#9080a4cb', '#c701fb67', '#030a0a84', '#2B413', '#485120205729675', '#8AD61', '#c359a48a', '#cf9cbbc1', '#340320107165273', '#441AE', '#FA813', '#d2f4eb40', '#98AD3', '#1AC51', '#2d344a1f', '#a68790f8', '#d67e01ef', '#420DE', '#410920132514127', '#7840C', '#927620129868170', '#93291', '#46639', '#44223ef0', '#98ffcfa7', '#9e2b8aaf', '#366220028161972', '#4E279', '#2d65ef50', '#962c4013', '#CC7DB', '#F7C55', '#CAE2E', '#0884df52', '#168420059994536', '#EFF36', '#554120196372191', '#0ec99c82', '#5a38ad6d', '#f58fcf79', '#31978162', '#30510440', '#86A2E', '#430f57cc', '#386720218856239', '#340320157163920', '#dc32ae7a', '#d66752d8', '#90621', '#54A27', '#da1ef80c', '#8caa442d', '#4ee8cdf4', '#01aef988', '#a2d64922', '#95A8E', '#cb0a6e31', '#CF422', '#2FF80', '#ceddbdaf', '#033620251549985', '#9208f672', '#033620161543499', '#7133d342', '#68c4c5b5', '#63de7d64', '#cbb9ef2b', '#eaae837a', '#0d5b1f47', '#80F91', '#C3A83', '#92ce8778', '#4DC6F', '#3ff18b5b', '#6E783', '#3fdab537', '#539720004808444', '#eee44921', '#3f47fd8c', '#d38f0b05', '#1FA6D', '#366220088167291', '#4DDB8', '#385820041998246', '#4c954940', '#b9edc378', '#D88EE', '#366220218169180', '#91fdc407', '#A3CB4', '#93ee912b', '#BCD45', '#9d5ad7c1', '#92fd2e36', '#140720258336489', '#419820106902695', '#71e878f4', '#6507F', '#8d46f7ce', '#974502dd', '#005eca0f', '#6C77E', '#49debfe3', '#6515c1da', '#c71206d4', '#0B626', '#39e0b705', '#4ed811f0', '#c36f3822', '#7A5C6', '#90e02ef2', '#e88eb377', '#539720104807263', '#a538ca62', '#71E6A', '#8093733d', '#5fd34df0', '#ED457', '#077620076494903', '#5823c8cd', '#4239a3d4', '#3c5c6b0e', '#c04b1569', '#5cb73f99', '#2c4f1c78', '#42353934', '#E8635', '#07093e79', '#729420259373830', '#9439B', '#485120245722866', '#f6827e97', '#68a75cd6', '#80A6A', '#de6adaf1', '#8A27F', '#1e46b859', '#08b07651', '#D9B32', '#73B6A', '#4b0b89b7', '#E3634', '#026bae16', '#866220137500209', '#43246', '#70307cfe', '#86646d16', '#92c91e56', '#11ced886', '#fd4243a8', '#5AD26', '#5aa0fd58', '#270220108636365', '#64fcd827', '#D9AFB', '#84b3e3ce', '#30aa3e62', '#b10dbd57', '#8fe025a2', '#0660B', '#6ddae2fc', '#40a9bd7d', '#37e93979', '#ABBC9', '#749ED', '#477820264890373', '#9307c2a8', '#385820031921339', '#8a1bd3b5', '#c930c2ee', '#7d25d632', '#40546', '#f14208ef', '#E8514', '#a63ee4e1', '#9623c345', '#280c308a', '#2d2d7f3a', '#7948ebca', '#d700facc', '#7438299d', '#ee9b3e4a', '#2aca3428', '#7d1dc0e0', '#6f4bb3b5', '#c0aebb44', '#c4f2fa14', '#dcf877e9', '#2833352e', '#a6104056', '#81a8e5ee', '#76f236b8', '#fa2ad867', '#acf26a23', '#E122E872', '#582920238176434', '#720e65ec', '#B9365', '#dc00d795', '#b5f86d00', '#004920ce', '#941420047136285', '#153020246798058', '#f26c3043', '#b5049ab0', '#e85bbce1', '#672fc006', '#077620126491562', '#501120180235536', '#36DC5', '#317688d7', '#4479f3c9', '#9e70b9ce', '#033620191509622', '#3611980e', '#73175b9d', '#bba14931', '#25a26060', '#fd176689', '#e386b4f6', '#f64bb1da', '#4ac5d5ac', '#3B199', '#364ea73b', '#567620054813222', '#366220178161151', '#B3259', '#63C7F', '#97ded058', '#42013', '#759020204690180', '#5c556e14', '#d03b7375', '#554120016379632', '#95d4f7d4', '#BA4D5', '#7a993e28', '#ca9b41e6', '#d031060e', '#5f7e30b3', '#0ECA7', '#929b4fb0', '#9753225c', '#1F148', '#941420137130305', '#7D83B', '#8824C', '#2bb15915', '#121BC', '#FA723', '#d36013e8', '#e9eea712', '#7b53ec38', '#d7e29763', '#33eb633c', '#460f61bf', '#0F17F', '#8226D', '#0f9f514d', '#3F6ED', '#9bb26ecd', '#fb21131e', '#994220078856983', '#CDCEF', '#b3827e2f', '#0875e515', '#8cd1a3f0', '#582920228173516', '#2014f186', '#25327', '#927620009846223', '#BCFCC', '#366220068109641', '#c9f8895b', '#0eccef84', '#459c679c', '#20905', '#506a0ee8', '#6A985', '#233a074a', '#692206c7', '#a8a26bb5', '#D35D0', '#ffb10beb', '#6E5D2', '#140720048338533', '#958e57f1', '#3aa36775', '#20AFB', '#AD531', '#115694bd', '#1FE0C', '#a26039e7', '#d130a3da', '#0b4fb446', '#882093da', '#b06be1d6', '#f44737ac', '#0F3CD', '#fa08fe86', '#61d02176', '#B0CDA', '#6BEA0', '#6ef16998', '#6CD80', '#361A9', '#386720058851450', '#5bcc67b7', '#033620141545765', '#870FB', '#11475290', '#3AA64', '#9c523bca', '#340319987162860', '#0c5112f4', '#458a05b9', '#EAA1B', '#487c32ba', '#25B6B', '#69F14', '#56c8afd7', '#22e75934', '#927620249848926', '#4a4b23a6', '#7B0DF', '#f6c64cc6', '#EBE7D', '#5ACCAF62', '#34DF9', '#7cdaaeb4', '#9A7D8', '#0cf26109', '#3f43b80d', '#087F0', '#e2fcb112', '#674157b0', '#42b79422', '#e2eaae1a', '#03564019', '#e37ec732', '#aabc8949', '#151719997511252', '#30599086', '#a7cf2237', '#07a0545b', '#E113C', '#17911', '#35cc087c', '#eee84699', '#7daff4e3', '#A1EF5', '#80f6ab99', '#866220127501649', '#a6445256', '#1790057b', '#da8fcb3b', '#C74F5', '#40750', '#E75C3', '#9F1C3', '#507420207262637', '#16F85', '#1ABFA', '#B91F4', '#0822E', '#07a81d94', '#50AC9', '#853519995460178', '#5311dc16', '#714E5', '#4048374d', '#507420237221363', '#ce618017', '#47B78', '#46a66bc9', '#d44a7587', '#aebb96e4', '#582920168170478', '#2324fa7f', '#7f6b6dd0', '#6bbf7180', '#822620118781812', '#543e7e22', '#7e499d10', '#2F838', '#535e38bf', '#215e302f', '#f640d6e1', '#1a611b5c', '#f1bc18af', '#b89335ea', '#ee8a0e25', '#a1e17d2b', '#153020216795234', '#97321e45', '#57B57', '#AF9B2', '#56cf835c', '#1725b5bc', '#60272', '#64614aeb', '#410920152519695', '#b268e7ad', '#3775a9ed', '#075597cd', '#477819974897968', '#8024c6c1', '#f15e9c11', '#1B55D', '#3b884fe0', '#3f0f1f2c', '#bbee9b8d'}
adjustments || -180.08
reimbursement adjustments || 0.0
VR STORE | ORDERS | TOTAL
20491 Alton Pkwy, Suite B, Lake Forest, CA 92630 | 455 | 12141.33
"
