"Delivery Date","Order #",Location,"Food Total",Period,"Check Date"
12/17/2025,2324704,"Ameci - Lake Forest",464.94,2025-27,01/02/2026
12/03/2025,2310518,"Aroma Pizza - Lake Forest",324.94,2025-26,12/19/2025
12/02/2025,2313905,"Ameci - Lake Forest",414.71,2025-26,12/19/2025
11/25/2025,2308880,"Ameci - Lake Forest",315.28,2025-26,12/19/2025
11/04/2025,2296430,"Aroma Pizza - Lake Forest",829.00,2025-24,11/21/2025
10/15/2025,2277815,"Aroma Pizza - Lake Forest",399.93,2025-23,11/07/2025
10/03/2025,2271195,"Ameci - Lake Forest",77.22,2025-22,10/24/2025
09/23/2025,2258808,"Ameci - Lake Forest",468.44,2025-21,10/10/2025
09/17/2025,2253751,"Aroma Pizza - Lake Forest",311.28,2025-21,10/10/2025
09/10/2025,2249241,"Aroma Pizza - Lake Forest",389.95,2025-20,09/26/2025
08/29/2025,2245723,"Ameci - Lake Forest",78.44,2025-19,09/12/2025
08/27/2025,2244071,"Ameci - Lake Forest",320.61,2025-19,09/12/2025
08/20/2025,2232559,"Aroma Pizza - Lake Forest",26.23,2025-19,09/12/2025
08/11/2025,2227622,"Aroma Pizza - Lake Forest",198.02,2025-18,08/29/2025
07/29/2025,2219790,"Ameci - Lake Forest",198.11,2025-17,08/15/2025
07/23/2025,2212711,"Ameci - Lake Forest",249.26,2025-17,08/15/2025
07/17/2025,2207855,"Ameci - Lake Forest",401.93,2025-16,08/01/2025
07/07/2025,2205853,"Aroma Pizza - Lake Forest",501.22,2025-16,08/01/2025
06/27/2025,2199982,"Ameci - Lake Forest","1,391.68",2025-15,07/18/2025
06/27/2025,2193818,"Ameci - Lake Forest",234.15,2025-15,07/18/2025
06/23/2025,2194414,"Aroma Pizza - Lake Forest",64.20,2025-15,07/18/2025
06/17/2025,2188416,"Aroma Pizza - Lake Forest",138.85,2025-14,07/04/2025
06/16/2025,2189727,"Aroma Pizza - Lake Forest",418.88,2025-14,07/04/2025
06/13/2025,2191014,"Ameci - Lake Forest",108.17,2025-14,07/04/2025
