order_id,platform,provider,order_datetime,order_type,payment_type,subtotal,tax,tax_withheld,tip,delivery_fee,total,processing_fee,commission_fee,adjustments,marketing_fee,misc_fee,payout,expected_payout,customer_name,company_name,phone,email,address,address_formatted,lat,lng,restaurant_name,items,item_count,errors,notes
f7bd2429,NEXTBITE,AMECI,2022-04-14T00:00:00,pickup,credit,13.50,1.05,0.00,0.00,0.00,14.55,0.00,-6.08,0.00,0.00,,7.42,8.47,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.27 | platform=doordash | tax_not_paid_in_payout=1.05
#925D3__UBEREATS_20220430,NEXTBITE,AMECI,2022-04-14T00:00:00,pickup,credit,-36.50,0.00,-2.83,0.00,0.00,-36.50,0.00,0.00,0.00,0.00,,-36.50,-36.50,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,,commission_rate=0.00 | platform=ubereats | original_order_id=#925D3
#94B58,NEXTBITE,AMECI,2022-04-14T00:00:00,pickup,credit,37.00,0.00,2.87,0.00,0.00,37.00,0.00,-16.65,0.00,0.00,,20.35,20.35,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,,commission_rate=0.24 | platform=postmates
#925D3__POSTMATES_20220430,NEXTBITE,AMECI,2022-04-14T00:00:00,pickup,credit,36.50,0.00,2.83,0.00,0.00,36.50,0.00,-16.43,0.00,0.00,,20.08,20.07,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,,commission_rate=0.24 | platform=postmates | original_order_id=#925D3
#BF5D9__UBEREATS_20220430,NEXTBITE,AMECI,2022-04-15T00:00:00,pickup,credit,-45.50,0.00,-3.53,0.00,0.00,-45.50,0.00,0.00,0.00,0.00,,-45.50,-45.50,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,,commission_rate=0.00 | platform=ubereats | original_order_id=#BF5D9
#BF5D9__POSTMATES_20220430,NEXTBITE,AMECI,2022-04-15T00:00:00,pickup,credit,45.50,0.00,3.53,0.00,0.00,45.50,0.00,-20.47,0.00,0.00,,25.03,25.03,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,,commission_rate=0.24 | platform=postmates | original_order_id=#BF5D9
#E93E8,NEXTBITE,AMECI,2022-04-15T00:00:00,pickup,credit,19.00,0.00,1.47,0.00,0.00,19.00,0.00,-8.55,0.00,0.00,,10.45,10.45,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,,commission_rate=0.24 | platform=postmates
#48B93,NEXTBITE,AMECI,2022-04-15T00:00:00,pickup,credit,34.00,0.00,2.64,0.00,0.00,34.00,0.00,-15.30,0.00,0.00,,18.70,18.70,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,,commission_rate=0.24 | platform=postmates
#201AC,NEXTBITE,AMECI,2022-04-15T00:00:00,pickup,credit,36.00,0.00,2.79,0.00,0.00,36.00,0.00,-16.20,0.00,0.00,,19.80,19.80,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,,commission_rate=0.24 | platform=postmates
1fd7c78a,NEXTBITE,AMECI,2022-04-17T00:00:00,pickup,credit,36.00,2.79,0.00,0.00,0.00,38.79,0.00,-16.20,0.00,0.00,,19.80,22.59,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.27 | platform=doordash | tax_not_paid_in_payout=2.79
#01A3B,NEXTBITE,AMECI,2022-04-17T00:00:00,pickup,credit,45.96,0.00,3.56,0.00,0.00,45.96,0.00,-20.68,0.00,0.00,,40.90,25.28,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.24 | platform=ubereats
#7B74E,NEXTBITE,AMECI,2022-04-17T00:00:00,pickup,credit,37.47,0.00,2.90,0.00,0.00,37.47,0.00,-16.86,0.00,0.00,,36.23,20.61,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.24 | platform=ubereats
#872F2,NEXTBITE,AMECI,2022-04-17T00:00:00,pickup,credit,17.00,0.00,1.32,0.00,0.00,17.00,0.00,-7.65,0.00,0.00,,24.97,9.35,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.24 | platform=ubereats
#CEE98,NEXTBITE,AMECI,2022-04-17T00:00:00,pickup,credit,37.00,0.00,2.87,0.00,0.00,37.00,0.00,-19.58,0.00,0.00,,33.05,17.42,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.24 | platform=ubereats | collapsed_records=2
#4B845__UBEREATS_20220430,NEXTBITE,AMECI,2022-04-17T00:00:00,pickup,credit,-11.50,0.00,-0.89,0.00,0.00,-11.50,0.00,0.00,0.00,0.00,,-11.50,-11.50,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,,commission_rate=0.00 | platform=ubereats | original_order_id=#4B845
#F3716,NEXTBITE,AMECI,2022-04-17T00:00:00,pickup,credit,52.95,0.00,4.10,0.00,0.00,52.95,0.00,-23.82,0.00,0.00,,29.11,29.13,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.24 | platform=postmates
#4B845__POSTMATES_20220430,NEXTBITE,AMECI,2022-04-17T00:00:00,pickup,credit,33.50,0.00,2.60,0.00,0.00,33.50,0.00,-15.08,0.00,0.00,,18.43,18.42,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,,commission_rate=0.24 | platform=postmates | original_order_id=#4B845
