Pay Period Ending,Store Name,Location,DSP,Concept,Number of Orders Fulfilled,Delivery Fulfilled Orders,Delivery Cancelled Orders,Delivery Unfulfilled Orders,Pickup Fulfilled Orders,Pickup Cancelled Orders,Pickup Unfulfilled Orders,Refunds,Adjustments,Gross Sales Tax (Collected by DSP),Sales Tax (Remitted by DSP),Total Gross Sales,Total FP Payout,Delivery Contract Rate Payout,Pickup Contract Rate Payout,Commission Cap Savings,provider,source_file,source_member,source_sheet,summary_sheet,email_date,added_at
2022-11-15,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,grubhub,Firebelly Wings,2,56.47,0,0,0,0,0,0,-6.5,4.38,0,56.47,31.06,,,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,grubhub,Summary,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.026243
2022-11-15,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,doordash,Firebelly Wings,2,30.98,0,0,0,0,0,0,0,2.4,0,30.98,17.04,,,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,doordash,Summary,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.026243
2022-11-15,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,ubereats,Firebelly Wings,3,163.95,0,0,0,0,0,-38.99,0,12.71,12.71,163.95,90.17,,,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,ubereats,Summary,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.026243
2022-11-15,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,postmates,Firebelly Wings,1,20.98,0,0,0,0,0,0,0,1.39,1.39,20.98,11.54,,,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,postmates,Summary,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.026243
2022-11-30,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,grubhub,Firebelly Wings,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,grubhub,Summary,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.026243
2022-11-30,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,doordash,Firebelly Wings,1,16.99,0,0,0,0,0,0,0,1.32,0,16.99,9.34,,,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,doordash,Summary,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.026243
2022-11-30,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,ubereats,Firebelly Wings,1,52.98,0,0,0,0,0,-4,0,4.11,4.11,52.98,29.14,,,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,ubereats,Summary,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.026243
2022-11-30,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,postmates,Firebelly Wings,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,postmates,Summary,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.026243
2022-7-15,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,grubhub,Firebelly Wings,12,504.99,0,0,0,0,0,0,-19.99,39.12,0,504.99,277.74,277.74,0,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,Summary,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.026243
2022-7-15,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,doordash,Firebelly Wings,2,52.98,0,0,0,0,0,0,0,4.1,0,52.98,29.14,29.14,0,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,doordash,Summary,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.026243
2022-7-15,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,ubereats,Firebelly Wings,5,128.92,0,0,0,0,0,0,0,9.98,9.98,128.92,70.91,70.91,0,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,ubereats,Summary,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.026243
2022-7-15,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,postmates,Firebelly Wings,3,106.94,0,0,0,0,0,0,0,8.29,8.29,106.94,58.82,58.82,0,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,postmates,Summary,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.026243
2022-7-31,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,grubhub,Firebelly Wings,5,136.92,0,0,0,0,0,0,-13.99,10.6,0,136.92,75.31,75.31,0,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,Summary,2022-08-06T21:02:52+00:00,2026-02-28T20:02:49.026243
2022-7-31,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,doordash,Firebelly Wings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,doordash,Summary,2022-08-06T21:02:52+00:00,2026-02-28T20:02:49.026243
2022-7-31,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,ubereats,Firebelly Wings,1,22.99,0,0,0,0,0,0,0,1.78,1.78,22.99,12.64,12.64,0,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,ubereats,Summary,2022-08-06T21:02:52+00:00,2026-02-28T20:02:49.026243
2022-7-31,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,postmates,Firebelly Wings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,postmates,Summary,2022-08-06T21:02:52+00:00,2026-02-28T20:02:49.026243
2022-7-31,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,whitelabel,Firebelly Wings,1,29.5,0,0,0,0,0,0,0,1.2,1.2,29.5,16.22,16.22,0,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,whitelabel,Summary,2022-08-06T21:02:52+00:00,2026-02-28T20:02:49.026243
2022-12-15,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,doordash,Firebelly Wings,2,64.47,0,0,0,0,0,0,0,5,0,64.47,35.46,,,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,doordash,Summary,2022-12-22T17:25:23+00:00,2026-02-28T20:02:49.026243
2022-12-15,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,ubereats,Firebelly Wings,4,111.92,0,0,0,0,0,-5.99,0,8.68,8.68,111.92,61.56,,,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,ubereats,Summary,2022-12-22T17:25:23+00:00,2026-02-28T20:02:49.026243
2022-5-15,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,grubhub,Firebelly Wings,1,27.98,0,0,0,0,0,0,0,2.17,0,27.98,17.9,15.39,0,2.51,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,Summary,2022-05-20T16:50:36+00:00,2026-02-28T20:02:49.026243
2022-5-15,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,doordash,Firebelly Wings,7,202.38,0,0,0,0,0,0,0,15.68,0,202.38,111.31,111.31,0,0,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,doordash,Summary,2022-05-20T16:50:36+00:00,2026-02-28T20:02:49.026243
2022-5-15,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,ubereats,Firebelly Wings,2,66.95,0,0,0,0,0,0,0,5.19,5.19,66.95,36.82,36.82,0,0,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,ubereats,Summary,2022-05-20T16:50:36+00:00,2026-02-28T20:02:49.026243
2022-5-15,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,postmates,Firebelly Wings,2,48.97,0,0,0,0,0,0,0,3.79,3.79,48.97,26.93,26.93,0,0,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,postmates,Summary,2022-05-20T16:50:36+00:00,2026-02-28T20:02:49.026243
2022-10-15,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,grubhub,Firebelly Wings,6,132.42,0,0,0,0,0,0,-50.97,10.25,0,132.42,72.83,,,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,grubhub,Summary,2022-11-08T15:01:51+00:00,2026-02-28T20:02:49.026243
2022-10-15,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,ubereats,Firebelly Wings,1,41.97,0,0,0,0,0,0,0,3.25,3.25,41.97,23.08,,,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,ubereats,Summary,2022-11-08T15:01:51+00:00,2026-02-28T20:02:49.026243
2022-10-15,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,postmates,Firebelly Wings,2,56.97,0,0,0,0,0,0,0,4.42,4.03,56.97,31.33,,,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,postmates,Summary,2022-11-08T15:01:51+00:00,2026-02-28T20:02:49.026243
2022-10-31,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,grubhub,Firebelly Wings,3,80.96,0,0,0,0,0,0,-6.5,6.27,0,80.96,44.53,,,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,grubhub,Summary,2022-11-08T15:01:51+00:00,2026-02-28T20:02:49.026243
2022-10-31,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,doordash,Firebelly Wings,2,36.98,0,0,0,0,0,0,0,2.86,0,36.98,20.34,,,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,doordash,Summary,2022-11-08T15:01:51+00:00,2026-02-28T20:02:49.026243
2022-10-31,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,ubereats,Firebelly Wings,2,45.96,0,0,0,0,0,0,0,3.56,3.56,45.96,25.28,,,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,ubereats,Summary,2022-11-08T15:01:51+00:00,2026-02-28T20:02:49.026243
2022-10-31,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,postmates,Firebelly Wings,1,48.98,0,0,0,0,0,0,0,3.8,3.8,48.98,26.94,,,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,postmates,Summary,2022-11-08T15:01:51+00:00,2026-02-28T20:02:49.026243
2023-1-15,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,doordash,Firebelly Wings,2,71.97,41.97,0,0,0,0,0,0,8.83,0,113.94,62.67,,,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,doordash,Summary,2023-02-08T16:06:34+00:00,2026-02-28T20:02:49.026243
2023-1-15,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,ubereats,Firebelly Wings,3,146.95,0,0,0,0,0,-5,0,11.39,11.39,146.95,80.82,,,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,ubereats,Summary,2023-02-08T16:06:34+00:00,2026-02-28T20:02:49.026243
2023-1-15,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,postmates,Firebelly Wings,1,32.98,0,0,0,0,0,0,0,2.56,2.56,32.98,18.14,,,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,postmates,Summary,2023-02-08T16:06:34+00:00,2026-02-28T20:02:49.026243
2023-1-31,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,grubhub,Firebelly Wings,1,31.97,0,0,0,0,0,0,0,2.48,0,31.97,17.58,,,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,grubhub,Summary,2023-02-08T16:06:34+00:00,2026-02-28T20:02:49.026243
2023-1-31,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,doordash,Firebelly Wings,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,doordash,Summary,2023-02-08T16:06:34+00:00,2026-02-28T20:02:49.026243
2023-1-31,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,ubereats,Firebelly Wings,4,69.95,48.98,0,0,0,0,0,0,9.22,9.22,118.93,65.41,,,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,ubereats,Summary,2023-02-08T16:06:34+00:00,2026-02-28T20:02:49.026243
2023-1-31,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,postmates,Firebelly Wings,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,postmates,Summary,2023-02-08T16:06:34+00:00,2026-02-28T20:02:49.026243
2022-8-15,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,grubhub,Firebelly Wings,5,162.88,0,0,0,0,0,0,-3,12.63,0,162.88,89.58,89.58,0,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,Summary,2022-08-23T14:32:44+00:00,2026-02-28T20:02:49.026243
2022-8-15,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,postmates,Firebelly Wings,1,13.99,0,0,0,0,0,0,0,1.08,1.08,13.99,7.69,7.69,0,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,postmates,Summary,2022-08-23T14:32:44+00:00,2026-02-28T20:02:49.026243
2022-4-15,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,doordash,Firebelly Wings,1,13.5,0,0,0,0,0,0,0,1.05,0,13.5,7.42,7.42,0,0,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,doordash,Summary,2022-05-07T16:05:17+00:00,2026-02-28T20:02:49.026243
2022-4-30,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,grubhub,Firebelly Wings,2,68.45,0,0,0,0,0,0,0,5.3,0,68.45,43.8,37.65,0,6.15,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,Summary,2022-05-07T16:05:17+00:00,2026-02-28T20:02:49.026243
2022-4-30,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,doordash,Firebelly Wings,7,221.85,0,0,0,0,0,0,0,17.2,0,221.85,122.02,122.02,0,0,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,doordash,Summary,2022-05-07T16:05:17+00:00,2026-02-28T20:02:49.026243
2022-9-15,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,grubhub,Firebelly Wings,2,70.46,0,0,0,0,0,0,-22.99,5.46,0,70.46,38.75,38.75,0,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,grubhub,Summary,2022-09-23T16:39:40+00:00,2026-02-28T20:02:49.026243
2022-9-15,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,doordash,Firebelly Wings,1,18.99,0,0,0,0,0,0,0,1.47,0,18.99,10.44,10.44,0,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,doordash,Summary,2022-09-23T16:39:40+00:00,2026-02-28T20:02:49.026243
2022-9-15,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,ubereats,Firebelly Wings,4,103.95,0,13.99,0,0,0,-39.99,0,9.14,9.14,117.94,64.87,64.87,0,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,ubereats,Summary,2022-09-23T16:39:40+00:00,2026-02-28T20:02:49.026243
2022-9-15,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,postmates,Firebelly Wings,2,41.97,0,0,0,0,0,0,0,3.25,3.25,41.97,23.08,23.08,0,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,postmates,Summary,2022-09-23T16:39:40+00:00,2026-02-28T20:02:49.026243
2022-8-31,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,grubhub,Firebelly Wings,5,133.93,0,0,0,0,0,0,0,10.37,0,133.93,73.67,73.67,0,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,grubhub,Summary,2022-09-09T14:37:31+00:00,2026-02-28T20:02:49.026243
2022-8-31,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,ubereats,Firebelly Wings,5,172.41,0,0,0,0,0,0,0,13.36,13.36,172.41,94.83,94.83,0,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,ubereats,Summary,2022-09-09T14:37:31+00:00,2026-02-28T20:02:49.026243
2022-8-31,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,postmates,Firebelly Wings,5,112.93,0,0,0,0,0,0,0,8.74,8.74,112.93,62.12,62.12,0,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,postmates,Summary,2022-09-09T14:37:31+00:00,2026-02-28T20:02:49.026243
2022-5-31,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,grubhub,Firebelly Wings,4,119.4,0,0,0,0,0,0,0,9.25,0,119.4,76.39,65.67,0,10.72,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,Summary,2022-06-09T02:36:35+00:00,2026-02-28T20:02:49.026243
2022-5-31,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,doordash,Firebelly Wings,17,353.24,0,0,0,0,0,0,-11.91,24.66,0,353.24,203.73,194.28,0,9.45,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,doordash,Summary,2022-06-09T02:36:35+00:00,2026-02-28T20:02:49.026243
2022-5-31,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,ubereats,Firebelly Wings,6,209.39,0,0,0,0,0,-41.97,0,16.22,16.22,209.39,115.17,115.17,0,0,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,ubereats,Summary,2022-06-09T02:36:35+00:00,2026-02-28T20:02:49.026243
2022-5-31,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,postmates,Firebelly Wings,2,72.95,0,0,0,0,0,0,0,5.66,5.66,72.95,40.13,40.13,0,0,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,postmates,Summary,2022-06-09T02:36:35+00:00,2026-02-28T20:02:49.026243
2022-6-15,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,grubhub,Firebelly Wings,6,257.82,0,0,0,0,0,0,0,19.98,0,257.82,164.98,141.8,0,23.18,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,Summary,2022-07-10T00:50:24+00:00,2026-02-28T20:02:49.026243
