Order ID,Store Name,Date (Reportable),Commission Rate,email_date,source_file,source_member,period_dsp,pay_period_ending,pay_period_start,pay_period_end,Transaction Type,source_sheet,Subtotal,Gross Tax,Tax Remitted,Total Commissions,Total Promotions,Total Adjustments,Savings,fulfilled_order_count,delivery_fulfilled_orders,refunds,gross_sales_tax_collected,sales_tax_remitted,total_gross_sales,nextbite_total_commission,nextbite_base_payout,nextbite_true_payout,nextbite_total_commission_reconciled,nextbite_base_payout_reconciled,nextbite_true_payout_reconciled,collapsed_records
O-696020604818039,Firebelly Wings 25431 Trabuco Road,2022-11-03 00:00:00,0.3,2022-12-08T16:42:19+00:00,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,grubhub,2022-11-15,2022-11-01,2022-11-15,Adjustments | Fulfilled Orders,grubhub,20.49,1.59,0.00,-4.30,0.00,-6.50,0.00,1,20.49,0.00,1.59,0.00,20.49,9.22,11.27,11.27,9.22,11.27,11.27,2
O-187020623902522,Firebelly Wings 25431 Trabuco Road,2022-11-05 00:00:00,0.3,2022-12-08T16:42:19+00:00,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,grubhub,2022-11-15,2022-11-01,2022-11-15,Fulfilled Orders,grubhub,35.98,2.79,0.00,-7.56,0.00,0.00,0.00,1,35.98,0.00,2.79,0.00,35.98,16.19,19.79,19.79,16.19,19.79,19.79,1
fcdc8aa5,Firebelly Wings 25431 Trabuco Road,2022-11-05 00:00:00,0.27,2022-12-08T16:42:19+00:00,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,doordash,2022-11-15,2022-11-01,2022-11-15,Fulfilled Orders,doordash,13.99,1.08,0.00,-3.78,0.00,0.00,0.00,1,13.99,0.00,1.08,0.00,13.99,6.30,7.69,7.69,6.30,7.69,7.69,1
b022e38a,Firebelly Wings 25431 Trabuco Road,2022-11-13 00:00:00,0.27,2022-12-08T16:42:19+00:00,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,doordash,2022-11-15,2022-11-01,2022-11-15,Fulfilled Orders,doordash,16.99,1.32,0.00,-4.59,0.00,0.00,0.00,1,16.99,0.00,1.32,0.00,16.99,7.65,9.34,9.34,7.64,9.35,9.35,1
51ff14f8,Firebelly Wings 25431 Trabuco Road,2022-11-19 00:00:00,0.27,2022-12-08T16:42:19+00:00,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,doordash,2022-11-30,2022-11-16,2022-11-30,Fulfilled Orders,doordash,16.99,1.32,0.00,-4.59,0.00,0.00,0.00,1,16.99,0.00,1.32,0.00,16.99,7.65,9.34,9.34,7.65,9.34,9.34,1
#227DF,Firebelly Wings 25431 Trabuco Road,2022-11-03 00:00:00,0.24,2022-12-08T16:42:19+00:00,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,ubereats,2022-11-15,2022-11-01,2022-11-15,Fulfilled Orders | Refunds,ubereats,0.00,0.00,0.00,-10.14,0.00,0.00,0.00,1,38.99,-38.99,0.00,0.00,0.00,0.00,0.00,0.00,17.55,-4.56,-4.56,2
#4D283,Firebelly Wings 25431 Trabuco Road,2022-11-04 00:00:00,0.24,2022-12-08T16:42:19+00:00,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,ubereats,2022-11-15,2022-11-01,2022-11-15,Fulfilled Orders,ubereats,40.98,3.18,3.18,-9.84,0.00,0.00,0.00,1,40.98,0.00,3.18,3.18,40.98,18.44,22.54,22.54,18.44,35.54,35.54,1
#85784,Firebelly Wings 25431 Trabuco Road,2022-11-05 00:00:00,0.24,2022-12-08T16:42:19+00:00,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,ubereats,2022-11-15,2022-11-01,2022-11-15,Fulfilled Orders,ubereats,83.98,6.51,6.51,-20.16,0.00,0.00,0.00,1,83.98,0.00,6.51,6.51,83.98,37.79,46.19,46.19,37.79,59.19,59.19,1
#663C4,Firebelly Wings 25431 Trabuco Road,2022-11-17 00:00:00,0.24,2022-12-08T16:42:19+00:00,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,ubereats,2022-11-30,2022-11-16,2022-11-30,Fulfilled Orders | Refunds,ubereats,48.98,3.80,3.80,-12.72,0.00,0.00,0.00,1,52.98,-4.00,3.80,3.80,48.98,22.04,26.94,26.94,23.84,29.14,29.14,2
#36B9A,Firebelly Wings 25431 Trabuco Road,2022-11-09 00:00:00,0.24,2022-12-08T16:42:19+00:00,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,postmates,2022-11-15,2022-11-01,2022-11-15,Fulfilled Orders,postmates,20.98,1.39,1.39,-5.04,0.00,0.00,0.00,1,20.98,0.00,1.39,1.39,20.98,9.44,11.54,11.54,9.44,11.54,11.54,1
O-235719349342955,Firebelly Wings 25431 Trabuco Road,2022-07-01 00:00:00,0.3,2022-07-23T19:43:39+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-15,2022-07-01,2022-07-15,Adjustments | Fulfilled Orders,grubhub,20.49,1.59,0.00,-4.30,0.00,0.00,0.00,1,20.49,0.00,1.59,0.00,20.49,9.22,11.27,11.27,9.22,11.27,11.27,2
