Store Name,Date (Reportable),Order ID,Transaction Type,Commission Rate,Subtotal,Gross Tax,Tax Remitted,Total Commissions,Total Promotions,Total Adjustments,Commission %,Savings,provider,source_file,source_member,source_sheet,email_date,added_at
Firebelly Wings 25431 Trabuco Road,2022-11-03 00:00:00,O-696020604818039,Fulfilled Orders,0.3,20.49,1.59,0,-4.3,0,0,0.209858467545144,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,grubhub,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.022278
Firebelly Wings 25431 Trabuco Road,2022-11-05 00:00:00,O-187020623902522,Fulfilled Orders,0.3,35.98,2.79,0,-7.56,0,0,0.2101167315175097,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,grubhub,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.022278
Firebelly Wings 25431 Trabuco Road,2022-11-01 00:00:00,T-AwEAAAAAADF-UugGsFBaHBHthb8faU00OpM,Adjustments,0,0,0,0,0,0,0,0,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,grubhub,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.022278
Firebelly Wings 25431 Trabuco Road,2022-11-03 00:00:00,O-696020604818039,Adjustments,0,0,0,0,0,0,-6.5,0,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,grubhub,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.022278
Firebelly Wings 25431 Trabuco Road,2022-11-05 00:00:00,fcdc8aa5,Fulfilled Orders,0.27,13.99,1.08,0,-3.78,0,0,0.270192994996426,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,doordash,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.022278
Firebelly Wings 25431 Trabuco Road,2022-11-13 00:00:00,b022e38a,Fulfilled Orders,0.27,16.99,1.32,0,-4.59,0,0,0.2701589170100059,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,doordash,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.022278
Firebelly Wings 25431 Trabuco Road,2022-11-19 00:00:00,51ff14f8,Fulfilled Orders,0.27,16.99,1.32,0,-4.59,0,0,0.2701589170100059,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,doordash,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.022278
Firebelly Wings 25431 Trabuco Road,2022-11-03 00:00:00,#227DF,Fulfilled Orders,0.24,38.99,3.02,-3.02,-10.14,0,0,0.260066683765068,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,ubereats,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.022278
Firebelly Wings 25431 Trabuco Road,2022-11-04 00:00:00,#4D283,Fulfilled Orders,0.24,40.98,3.18,-3.18,-9.84,0,0,0.2401171303074671,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,ubereats,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.022278
Firebelly Wings 25431 Trabuco Road,2022-11-05 00:00:00,#85784,Fulfilled Orders,0.24,83.98,6.51,-6.51,-20.16,0,0,0.2400571564658252,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,ubereats,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.022278
Firebelly Wings 25431 Trabuco Road,2022-11-17 00:00:00,#663C4,Fulfilled Orders,0.24,52.98,4.11,-4.11,-12.72,0,0,0.2400906002265006,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,ubereats,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.022278
Firebelly Wings 25431 Trabuco Road,2022-11-03 00:00:00,#227DF,Refunds,0,-38.99,-3.02,-3.02,0,0,0,0,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,ubereats,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.022278
Firebelly Wings 25431 Trabuco Road,2022-11-17 00:00:00,#663C4,Refunds,0,-4,-0.31,-0.31,0,0,0,0,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,ubereats,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.022278
Firebelly Wings 25431 Trabuco Road,2022-11-09 00:00:00,#36B9A,Fulfilled Orders,0.24,20.98,1.39,-1.39,-5.04,0,0,0.2402287893231649,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,postmates,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.022278
Firebelly Wings 25431 Trabuco Road,2022-07-01 00:00:00,O-235719349342955,Fulfilled Orders,0.3,20.49,1.59,0,-4.3,0,0,0.209858467545144,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278
Firebelly Wings 25431 Trabuco Road,2022-07-01 00:00:00,O-222819342206257,Fulfilled Orders,0.3,13.99,1.08,0,-2.94,0,0,0.2101501072194425,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278
Firebelly Wings 25431 Trabuco Road,2022-07-01 00:00:00,O-925619350701632,Fulfilled Orders,0.3,16.99,1.32,0,-3.57,0,0,0.2101236021188935,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278
Firebelly Wings 25431 Trabuco Road,2022-07-02 00:00:00,O-290819351792597,Fulfilled Orders,0.3,36.96,2.86,0,-7.77,0,0,0.2102272727272727,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278
Firebelly Wings 25431 Trabuco Road,2022-07-07 00:00:00,O-315219403474041,Fulfilled Orders,0.3,13.99,1.08,0,-2.94,0,0,0.2101501072194425,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278
Firebelly Wings 25431 Trabuco Road,2022-07-08 00:00:00,O-156219424594491,Fulfilled Orders,0.3,27.98,2.17,0,-5.88,0,0,0.2101501072194425,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278
Firebelly Wings 25431 Trabuco Road,2022-07-10 00:00:00,O-220819442248039,Fulfilled Orders,0.3,27.98,2.17,0,-5.88,0,0,0.2101501072194425,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278
