Store Name,Date (Reportable),Order ID,Transaction Type,Commission Rate,Subtotal,Gross Tax,Tax Remitted,Total Commissions,Total Promotions,Total Adjustments,Commission %,Savings,provider,source_file,source_member,source_sheet,email_date,added_at,__is_unfulfilled,__is_count_fulfilled,__is_refund,__num_subtotal,__num_gross_tax,__num_tax_remitted,__num_savings,__num_total_commissions,__nextbite_total_commission,__nextbite_base_payout,__nextbite_true_payout,nextbite_total_commission_reconciled,nextbite_base_payout_reconciled,nextbite_true_payout_reconciled,period_dsp,pay_period_ending,pay_period_start,pay_period_end
Firebelly Wings 25431 Trabuco Road,2022-11-03 00:00:00,O-696020604818039,Fulfilled Orders,0.3,20.49,1.59,0,-4.3,0,0,0.209858467545144,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,grubhub,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.022278,False,True,False,20.49,1.59,0,0,-4.30,9.2205,11.2695,11.2695,9.22,11.27,11.27,grubhub,2022-11-15,2022-11-01,2022-11-15
Firebelly Wings 25431 Trabuco Road,2022-11-05 00:00:00,O-187020623902522,Fulfilled Orders,0.3,35.98,2.79,0,-7.56,0,0,0.2101167315175097,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,grubhub,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.022278,False,True,False,35.98,2.79,0,0,-7.56,16.1910,19.7890,19.7890,16.19,19.79,19.79,grubhub,2022-11-15,2022-11-01,2022-11-15
Firebelly Wings 25431 Trabuco Road,2022-11-01 00:00:00,T-AwEAAAAAADF-UugGsFBaHBHthb8faU00OpM,Adjustments,0,0,0,0,0,0,0,0,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,grubhub,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.022278,False,True,False,0.00,0.00,0,0,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,grubhub,2022-11-15,2022-11-01,2022-11-15
Firebelly Wings 25431 Trabuco Road,2022-11-03 00:00:00,O-696020604818039,Adjustments,0,0,0,0,0,0,-6.5,0,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,grubhub,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.022278,False,True,False,0.00,0.00,0,0,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,grubhub,2022-11-15,2022-11-01,2022-11-15
Firebelly Wings 25431 Trabuco Road,2022-11-05 00:00:00,fcdc8aa5,Fulfilled Orders,0.27,13.99,1.08,0,-3.78,0,0,0.270192994996426,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,doordash,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.022278,False,True,False,13.99,1.08,0,0,-3.78,6.2955,7.6945,7.6945,6.30,7.69,7.69,doordash,2022-11-15,2022-11-01,2022-11-15
Firebelly Wings 25431 Trabuco Road,2022-11-13 00:00:00,b022e38a,Fulfilled Orders,0.27,16.99,1.32,0,-4.59,0,0,0.2701589170100059,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,doordash,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.022278,False,True,False,16.99,1.32,0,0,-4.59,7.6455,9.3445,9.3445,7.64,9.35,9.35,doordash,2022-11-15,2022-11-01,2022-11-15
Firebelly Wings 25431 Trabuco Road,2022-11-19 00:00:00,51ff14f8,Fulfilled Orders,0.27,16.99,1.32,0,-4.59,0,0,0.2701589170100059,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,doordash,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.022278,False,True,False,16.99,1.32,0,0,-4.59,7.6455,9.3445,9.3445,7.65,9.34,9.34,doordash,2022-11-30,2022-11-16,2022-11-30
Firebelly Wings 25431 Trabuco Road,2022-11-03 00:00:00,#227DF,Fulfilled Orders,0.24,38.99,3.02,-3.02,-10.14,0,0,0.260066683765068,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,ubereats,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.022278,False,True,False,38.99,3.02,3.02,0,-10.14,17.5455,21.4445,21.4445,17.55,34.43,34.43,ubereats,2022-11-15,2022-11-01,2022-11-15
Firebelly Wings 25431 Trabuco Road,2022-11-04 00:00:00,#4D283,Fulfilled Orders,0.24,40.98,3.18,-3.18,-9.84,0,0,0.2401171303074671,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,ubereats,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.022278,False,True,False,40.98,3.18,3.18,0,-9.84,18.4410,22.5390,22.5390,18.44,35.54,35.54,ubereats,2022-11-15,2022-11-01,2022-11-15
Firebelly Wings 25431 Trabuco Road,2022-11-05 00:00:00,#85784,Fulfilled Orders,0.24,83.98,6.51,-6.51,-20.16,0,0,0.2400571564658252,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,ubereats,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.022278,False,True,False,83.98,6.51,6.51,0,-20.16,37.7910,46.1890,46.1890,37.79,59.19,59.19,ubereats,2022-11-15,2022-11-01,2022-11-15
