dsp,pay_period_ending,pay_period_start,pay_period_end,orders_in_period,orders_count_fulfilled,summary_count_fulfilled,delta_count_fulfilled,match_count_fulfilled,orders_delivery_fulfilled,summary_delivery_fulfilled,delta_delivery_fulfilled,match_delivery_fulfilled,orders_refunds,summary_refunds,delta_refunds,match_refunds,orders_gross_sales_tax,summary_gross_sales_tax,delta_gross_sales_tax,match_gross_sales_tax,orders_sales_tax_remitted,summary_sales_tax_remitted,delta_sales_tax_remitted,match_sales_tax_remitted,orders_total_gross_sales,summary_total_gross_sales,delta_total_gross_sales,match_total_gross_sales,orders_savings,summary_commission_cap_savings,delta_savings,match_savings,orders_total_fp_payout,summary_total_fp_payout,delta_total_fp_payout,match_total_fp_payout,orders_nextbite_total_commission,orders_nextbite_base_payout,summary_delivery_contract_rate_payout,summary_pickup_contract_rate_payout,summary_55pct_of_total_gross_sales,summary_55pct_plus_savings,delta_summary_fp_vs_55pct_plus_savings,all_key_metrics_match
doordash,2022-04-15,2022-04-01,2022-04-15,1,1,1,0,True,13.50,13.50,0.00,True,0.00,0.00,0.00,True,1.05,1.05,0.00,True,0.00,0.00,0.00,True,13.50,13.50,0.00,True,0.00,0.00,0.00,True,7.42,7.42,0.00,True,6.08,7.42,7.42,0.00,7.43,7.43,-0.01,True
doordash,2022-04-30,2022-04-16,2022-04-30,7,7,7,0,True,221.85,221.85,0.00,True,0.00,0.00,0.00,True,17.20,17.20,0.00,True,0.00,0.00,0.00,True,221.85,221.85,0.00,True,0.00,0.00,0.00,True,122.02,122.02,0.00,True,99.83,122.02,122.02,0.00,122.02,122.02,0.00,True
doordash,2022-05-15,2022-05-01,2022-05-14,7,7,7,0,True,202.38,202.38,0.00,True,0.00,0.00,0.00,True,15.68,15.68,0.00,True,0.00,0.00,0.00,True,202.38,202.38,0.00,True,0.00,0.00,0.00,True,111.31,111.31,0.00,True,91.07,111.31,111.31,0.00,111.31,111.31,0.00,True
doordash,2022-05-31,2022-05-15,2022-05-31,18,17,17,0,True,353.24,353.24,0.00,True,0.00,0.00,0.00,True,24.66,24.66,0.00,True,0.00,0.00,0.00,True,353.24,353.24,0.00,True,9.45,9.45,0.00,True,203.73,203.73,0.00,True,158.96,194.28,194.28,0.00,194.28,203.73,-0.00,True
doordash,2022-06-15,2022-06-01,2022-06-14,1,1,1,0,True,13.99,13.99,0.00,True,0.00,0.00,0.00,True,1.08,1.08,0.00,True,0.00,0.00,0.00,True,13.99,13.99,0.00,True,0.00,0.00,0.00,True,7.69,7.69,0.00,True,6.30,7.69,7.69,0.00,7.69,7.69,-0.00,True
doordash,2022-06-30,2022-06-15,2022-06-30,1,1,1,0,True,17.99,17.99,0.00,True,0.00,0.00,0.00,True,1.39,1.39,0.00,True,0.00,0.00,0.00,True,17.99,17.99,0.00,True,0.00,0.00,0.00,True,9.90,9.90,0.00,True,8.09,9.90,9.90,0.00,9.89,9.89,0.01,True
doordash,2022-07-15,2022-07-01,2022-07-15,2,2,2,0,True,52.98,52.98,0.00,True,0.00,0.00,0.00,True,4.10,4.10,0.00,True,0.00,0.00,0.00,True,52.98,52.98,0.00,True,0.00,0.00,0.00,True,29.14,29.14,0.00,True,23.84,29.14,29.14,0.00,29.14,29.14,0.00,True
doordash,2022-07-31,2022-07-16,2022-07-31,0,0,0,0,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,0.00,0.00,0.00,0.00,True
doordash,2022-09-15,2022-09-01,2022-09-15,1,1,1,0,True,18.99,18.99,0.00,True,0.00,0.00,0.00,True,1.47,1.47,0.00,True,0.00,0.00,0.00,True,18.99,18.99,0.00,True,0.00,0.00,0.00,True,10.44,10.44,0.00,True,8.55,10.44,10.44,0.00,10.44,10.44,-0.00,True
doordash,2022-09-30,2022-09-16,2022-09-30,0,0,0,0,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,0.00,0.00,0.00,0.00,True
doordash,2022-10-31,2022-10-16,2022-10-31,2,2,2,0,True,36.98,36.98,0.00,True,0.00,0.00,0.00,True,2.86,2.86,0.00,True,0.00,0.00,0.00,True,36.98,36.98,0.00,True,0.00,0.00,0.00,True,20.34,20.34,0.00,True,16.64,20.34,0.00,0.00,20.34,20.34,0.00,True
doordash,2022-11-15,2022-11-01,2022-11-15,2,2,2,0,True,30.98,30.98,0.00,True,0.00,0.00,0.00,True,2.40,2.40,0.00,True,0.00,0.00,0.00,True,30.98,30.98,0.00,True,0.00,0.00,0.00,True,17.04,17.04,0.00,True,13.94,17.04,0.00,0.00,17.04,17.04,0.00,True
doordash,2022-11-30,2022-11-16,2022-11-30,1,1,1,0,True,16.99,16.99,0.00,True,0.00,0.00,0.00,True,1.32,1.32,0.00,True,0.00,0.00,0.00,True,16.99,16.99,0.00,True,0.00,0.00,0.00,True,9.34,9.34,0.00,True,7.65,9.34,0.00,0.00,9.34,9.34,-0.00,True
doordash,2022-12-15,2022-12-01,2022-12-15,2,2,2,0,True,64.47,64.47,0.00,True,0.00,0.00,0.00,True,5.00,5.00,0.00,True,0.00,0.00,0.00,True,64.47,64.47,0.00,True,0.00,0.00,0.00,True,35.46,35.46,0.00,True,29.01,35.46,0.00,0.00,35.46,35.46,0.00,True
doordash,2022-12-31,2022-12-16,2022-12-31,1,1,1,0,True,20.49,20.49,0.00,True,0.00,0.00,0.00,True,1.59,1.59,0.00,True,0.00,0.00,0.00,True,20.49,20.49,0.00,True,0.00,0.00,0.00,True,11.27,11.27,0.00,True,9.22,11.27,0.00,0.00,11.27,11.27,0.00,True
doordash,2023-01-15,2023-01-01,2023-01-15,2,2,2,0,True,71.97,71.97,0.00,True,0.00,0.00,0.00,True,8.83,8.83,0.00,True,0.00,0.00,0.00,True,113.94,113.94,0.00,True,0.00,0.00,0.00,True,62.67,62.67,0.00,True,51.27,62.67,0.00,0.00,62.67,62.67,0.00,True
doordash,2023-01-31,2023-01-16,2023-01-31,0,0,0,0,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,0.00,0.00,0.00,0.00,True
grubhub,2022-04-30,2022-04-16,2022-04-30,3,2,2,0,True,68.45,68.45,0.00,True,0.00,0.00,0.00,True,5.30,5.30,0.00,True,0.00,0.00,0.00,True,68.45,68.45,0.00,True,6.15,6.15,0.00,True,43.80,43.80,0.00,True,30.80,37.65,37.65,0.00,37.65,43.80,0.00,True
grubhub,2022-05-15,2022-05-01,2022-05-15,2,1,1,0,True,27.98,27.98,0.00,True,0.00,0.00,0.00,True,2.17,2.17,0.00,True,0.00,0.00,0.00,True,27.98,27.98,0.00,True,2.51,2.51,0.00,True,17.90,17.90,0.00,True,12.59,15.39,15.39,0.00,15.39,17.90,0.00,True
grubhub,2022-05-31,2022-05-16,2022-05-31,8,4,4,0,True,119.40,119.40,0.00,True,0.00,0.00,0.00,True,9.25,9.25,0.00,True,0.00,0.00,0.00,True,119.40,119.40,0.00,True,10.72,10.72,0.00,True,76.39,76.39,0.00,True,53.73,65.67,65.67,0.00,65.67,76.39,0.00,True
