order_id,order_datetime,provider,platform,subtotal,tax,tax_withheld,commission_fee,adjustments,marketing_fee,payout,expected_payout,errors,notes,reason_bucket
#01A3B,2022-04-17T00:00:00,AMECI,NEXTBITE,45.96,0.00,3.56,-20.68,0.00,0.00,40.90,25.28,payout_expected_mismatch,commission_rate=0.24 | platform=ubereats,tax_withheld_model_diff
#7B74E,2022-04-17T00:00:00,AMECI,NEXTBITE,37.47,0.00,2.90,-16.86,0.00,0.00,36.23,20.61,payout_expected_mismatch,commission_rate=0.24 | platform=ubereats,tax_withheld_model_diff
#872F2,2022-04-17T00:00:00,AMECI,NEXTBITE,17.00,0.00,1.32,-7.65,0.00,0.00,24.97,9.35,payout_expected_mismatch,commission_rate=0.24 | platform=ubereats,tax_withheld_model_diff
#CEE98,2022-04-17T00:00:00,AMECI,NEXTBITE,37.00,0.00,2.87,-19.58,0.00,0.00,33.05,17.42,payout_expected_mismatch,commission_rate=0.24 | platform=ubereats | collapsed_records=2,tax_withheld_model_diff
#F3716,2022-04-17T00:00:00,AMECI,NEXTBITE,52.95,0.00,4.10,-23.82,0.00,0.00,29.11,29.13,payout_expected_mismatch,commission_rate=0.24 | platform=postmates,tax_withheld_model_diff
#74D93,2022-04-19T00:00:00,AMECI,NEXTBITE,27.98,0.00,2.17,-12.59,0.00,0.00,31.01,15.39,payout_expected_mismatch,commission_rate=0.24 | platform=ubereats,tax_withheld_model_diff
#BE29B,2022-04-19T00:00:00,AMECI,NEXTBITE,56.49,0.00,4.38,-25.42,0.00,0.00,46.69,31.07,payout_expected_mismatch,commission_rate=0.24 | platform=ubereats,tax_withheld_model_diff
#693E6,2022-04-23T00:00:00,AMECI,NEXTBITE,27.98,0.00,2.17,-12.59,0.00,0.00,31.01,15.39,payout_expected_mismatch,commission_rate=0.24 | platform=ubereats,tax_withheld_model_diff
#3F617,2022-04-27T00:00:00,AMECI,NEXTBITE,42.96,0.00,3.33,-19.33,0.00,0.00,39.25,23.63,payout_expected_mismatch,commission_rate=0.24 | platform=ubereats,tax_withheld_model_diff
bede41c7,2022-05-15T00:00:00,AMECI,NEXTBITE,44.97,3.10,0.00,-20.24,-10.56,0.00,26.08,17.27,payout_expected_mismatch,commission_rate=0.27 | adjustment=-11.91 | savings=1.35 | platform=doordash | collapsed_records=3,adjustment_collapsed_into_order
#1A808,2022-05-17T00:00:00,AMECI,NEXTBITE,54.99,0.00,4.26,-24.74,0.00,0.00,37.24,30.25,payout_expected_mismatch,commission_rate=0.24 | platform=ubereats,tax_withheld_model_diff
#E43CA,2022-05-18T00:00:00,AMECI,NEXTBITE,34.99,0.00,2.71,-15.75,0.00,0.00,26.24,19.24,payout_expected_mismatch,commission_rate=0.24 | platform=ubereats,tax_withheld_model_diff
#747FB,2022-05-19T00:00:00,AMECI,NEXTBITE,18.48,0.00,1.43,-8.32,0.00,0.00,17.16,10.16,payout_expected_mismatch,commission_rate=0.24 | platform=ubereats,tax_withheld_model_diff
#D1574,2022-05-21T00:00:00,AMECI,NEXTBITE,44.97,0.00,3.49,-20.23,0.00,0.00,31.73,24.74,payout_expected_mismatch,commission_rate=0.24 | platform=ubereats,tax_withheld_model_diff
#4CD6E,2022-05-29T00:00:00,AMECI,NEXTBITE,41.97,0.00,3.25,-18.88,0.00,0.00,30.08,23.09,payout_expected_mismatch,commission_rate=0.24 | platform=ubereats,tax_withheld_model_diff
