missing_from,order_id,provider,restaurant_name,order_datetime,source_file
excel,32143414,AMECI,Ameci Pizza & Pasta,2020-07-25T13:25:00,slice_order_history.csv
excel,33267398,AMECI,Ameci Pizza & Pasta,2020-08-19T17:00:00,slice_order_history.csv
excel,34407126,AMECI,Ameci Pizza & Pasta,2020-09-14T17:44:00,slice_order_history.csv
excel,37132053,AMECI,Ameci Pizza & Pasta,2020-11-14T17:58:00,slice_order_history.csv
excel,38254470,AMECI,Ameci Pizza & Pasta,2020-12-10T17:07:00,slice_order_history.csv
excel,43453430,AMECI,Ameci Pizza & Pasta,2021-03-21T17:05:00,slice_order_history.csv
excel,46368168,AMECI,Ameci Pizza & Pasta,2021-05-09T20:21:00,slice_order_history.csv
excel,46368580,AMECI,Ameci Pizza & Pasta,2021-05-09T21:06:00,slice_order_history.csv
excel,55646128,AMECI,Ameci Pizza & Pasta,2021-10-21T17:00:00,slice_order_history.csv
excel,59352985,AMECI,Ameci Pizza & Pasta,2021-12-24T19:52:00,slice_order_history.csv
excel,69613417,AMECI,Ameci Pizza & Pasta,2022-06-17T20:10:00,slice_order_history.csv
excel,69614003,AMECI,Ameci Pizza & Pasta,2022-06-17T20:38:00,slice_order_history.csv
excel,70730384,AMECI,Ameci Pizza & Pasta,2022-07-10T11:30:00,slice_order_history.csv
excel,72462291,AMECI,Ameci Pizza & Pasta,2022-08-06T19:24:00,slice_order_history.csv
excel,73270514,AMECI,Ameci Pizza & Pasta,2022-08-21T17:53:00,slice_order_history.csv
excel,73985978,AMECI,Ameci Pizza & Pasta,2022-09-03T18:52:00,slice_order_history.csv
excel,78374568,AMECI,Ameci Pizza & Pasta,2022-11-19T17:54:00,slice_order_history.csv
excel,80447213,AMECI,Ameci Pizza & Pasta,2022-12-26T17:36:00,slice_order_history.csv
excel,84060712,AMECI,Ameci Pizza & Pasta,2023-02-26T18:16:00,slice_order_history.csv
excel,93951183,AMECI,Ameci Pizza & Pasta,2023-08-19T12:15:00,slice_order_history.csv
excel,109034934,AMECI,Ameci Pizza & Pasta,2024-05-02T11:10:00,slice_order_history.csv
excel,110946798,AMECI,Ameci Pizza & Pasta,2024-06-01T19:02:00,slice_order_history.csv
excel,123499924,AMECI,Ameci Pizza & Pasta,2025-01-01T21:13:00,slice_order_history.csv
excel,126819939,AMECI,Ameci Pizza & Pasta,2025-02-28T17:49:00,slice_order_history.csv
excel,128999523,AMECI,Ameci Pizza & Pasta,2025-04-07T18:43:00,slice_order_history.csv
excel,129391743,AMECI,Ameci Pizza & Pasta,2025-04-19T12:00:00,slice_order_history.csv
excel,129707396,AMECI,Ameci Pizza & Pasta,2025-04-20T16:03:00,slice_order_history.csv
excel,129788416,AMECI,Ameci Pizza & Pasta,2025-04-22T21:18:00,slice_order_history.csv
excel,132189337,AMECI,Ameci Pizza & Pasta,2025-06-04T17:59:00,slice_order_history.csv
excel,137616776,AMECI,Ameci Pizza & Pasta,2025-09-11T17:32:00,slice_order_history.csv
excel,32372589,AROMA,Aroma Pizza & Pasta,2020-07-30T17:27:00,slice_order_history.csv
excel,36300767,AROMA,Aroma Pizza & Pasta,2020-10-28T17:09:00,slice_order_history.csv
excel,36301166,AROMA,Aroma Pizza & Pasta,2020-10-28T17:16:00,slice_order_history.csv
excel,36331616,AROMA,Aroma Pizza & Pasta,2020-10-29T15:21:00,slice_order_history.csv
excel,37510891,AROMA,Aroma Pizza & Pasta,2020-11-23T11:00:00,slice_order_history.csv
excel,37513036,AROMA,Aroma Pizza & Pasta,2020-11-23T12:34:00,slice_order_history.csv
