order_id,provider,restaurant_name,order_datetime,order_type,payment_type,payment_status,customer_name,phone,email,address,subtotal,customer_delivery_fee,order_adjustments,tax,tip,total,partnership_fee,processing_fee,misc_fee,notes,statement_period_start,statement_period_end,account_id,source_file,email_date,added_at
23956944,,,2020-01-01T00:00:00,delivery,credit,paid,,,,,22.47,4.99,,1.65,3.37,,-1.95,-1.25,-1.12,source_excel | discount_for_order=-1.12,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.838097
23956763,,,2020-01-01T00:00:00,delivery,credit,paid,,,,,44.95,1.99,,3.31,6.74,,-1.95,-2.19,-2.25,source_excel | discount_for_order=-2.25,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.838375
23961710,,,2020-01-01T00:00:00,delivery,credit,paid,,,,,28.98,1.99,,2.13,4.35,,-1.95,-1.44,-1.45,source_excel | discount_for_order=-1.45,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.838626
23960794,,,2020-01-01T00:00:00,pickup,credit,paid,,,,,36.42,0.00,,2.68,0.00,,-1.95,-1.49,-1.82,source_excel | discount_for_order=-1.82,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.838876
23998041,,,2020-01-02T00:00:00,pickup,cash,authorized,,,,,11.47,0.00,,0.84,0.00,,-1.95,-0.00,-0.57,source_excel | discount_for_order=-0.57,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.839137
24000386,,,2020-01-02T00:00:00,delivery,credit,paid,,,,,15.19,4.99,,1.12,2.28,,-1.95,-0.91,-0.76,source_excel | discount_for_order=-0.76,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.839375
23999578,,,2020-01-02T00:00:00,delivery,credit,paid,,,,,16.69,1.99,,1.23,2.00,,-1.95,-0.56,-0.83,source_excel | discount_for_order=-0.83,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.839610
23984092,,,2020-01-02T00:00:00,pickup,cash,authorized,,,,,41.97,0.00,,3.09,0.00,,-1.95,-0.00,-2.10,source_excel | discount_for_order=-2.10,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.839847
23983143,,,2020-01-02T00:00:00,pickup,credit,paid,,,,,11.99,0.00,,0.88,0.00,,-1.95,-0.37,-0.60,source_excel | discount_for_order=-0.60,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.840076
23984444,,,2020-01-02T00:00:00,pickup,credit,paid,,,,,19.98,0.00,,1.47,3.00,,-1.95,-0.94,-1.00,source_excel | discount_for_order=-1.00,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.840308
24004983,,,2020-01-03T00:00:00,delivery,credit,paid,,,,,150.95,1.99,,11.11,15.09,,-1.95,-6.86,-7.55,source_excel | discount_for_order=-7.55,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.840762
24035151,,,2020-01-03T00:00:00,delivery,cash,authorized,,,,,25.06,1.99,,1.85,0.00,,-1.95,-0.00,-1.25,source_excel | discount_for_order=-1.25,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.841181
24038443,,,2020-01-03T00:00:00,delivery,credit,paid,,,,,22.97,1.99,,1.69,4.59,,-1.95,-1.20,-1.15,source_excel | discount_for_order=-1.15,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.841469
24039235,,,2020-01-03T00:00:00,pickup,credit,paid,,,,,30.53,0.00,,2.25,0.00,,-1.95,-1.25,-1.53,source_excel | discount_for_order=-1.53,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.841829
24031667,,,2020-01-03T00:00:00,pickup,credit,paid,,,,,28.95,0.00,,2.13,4.34,,-1.95,-1.36,-1.45,source_excel | discount_for_order=-1.45,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.842136
24042708,,,2020-01-03T00:00:00,pickup,credit,paid,,,,,11.97,0.00,,0.88,0.00,,-1.95,-0.49,-0.60,source_excel | discount_for_order=-0.60,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.842389
24024296,,,2020-01-03T00:00:00,delivery,credit,paid,,,,,74.10,2.99,,5.46,7.41,,-1.95,-3.45,-3.71,source_excel | discount_for_order=-3.71,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.842635
24041756,,,2020-01-03T00:00:00,delivery,cash,authorized,,,,,20.98,1.99,,1.54,0.00,,-1.95,-0.00,-1.05,source_excel | discount_for_order=-1.05,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.842875
24043870,,,2020-01-03T00:00:00,pickup,credit,paid,,,,,25.98,0.00,,1.91,0.00,,-1.95,-1.06,-1.30,source_excel | discount_for_order=-1.30,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.843111
24077503,,,2020-01-04T00:00:00,delivery,credit,paid,,,,,37.36,4.99,,2.75,5.60,,-1.95,-1.95,-1.87,source_excel | discount_for_order=-1.87,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.843343
24073730,,,2020-01-04T00:00:00,pickup,credit,paid,,,,,21.98,0.00,,1.62,0.00,,-1.95,-0.90,-1.10,source_excel | discount_for_order=-1.10,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.843581
24073475,,,2020-01-04T00:00:00,delivery,credit,paid,,,,,16.98,1.99,,1.25,2.55,,-1.95,-0.88,-0.85,source_excel | discount_for_order=-0.85,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.843816
24048083,,,2020-01-04T00:00:00,pickup,credit,paid,,,,,47.96,0.00,,3.53,0.00,,-1.95,-1.96,-2.40,source_excel | discount_for_order=-2.40,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.844053
24081633,,,2020-01-04T00:00:00,delivery,credit,paid,,,,,24.65,1.99,,1.82,2.46,,-1.95,-1.19,-1.23,source_excel | discount_for_order=-1.23,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.844288
24079829,,,2020-01-04T00:00:00,pickup,credit,paid,,,,,39.97,0.00,,2.94,4.00,,-1.95,-1.80,-2.00,source_excel | discount_for_order=-2.00,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.844526
24082451,,,2020-01-04T00:00:00,delivery,credit,paid,,,,,15.11,1.99,,1.11,2.27,,-1.95,-0.79,-0.76,source_excel | discount_for_order=-0.76,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.844756
24082838,,,2020-01-04T00:00:00,delivery,credit,paid,,,,,21.73,1.99,,1.60,3.26,,-1.95,-1.10,-1.09,source_excel | discount_for_order=-1.09,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.844985
24073821,,,2020-01-04T00:00:00,pickup,credit,paid,,,,,20.06,0.00,,1.48,0.00,,-1.95,-0.82,-1.00,source_excel | discount_for_order=-1.00,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.845211
24077977,,,2020-01-04T00:00:00,pickup,cash,authorized,,,,,47.95,0.00,,3.53,0.00,,-1.95,-0.00,-2.40,source_excel | discount_for_order=-2.40,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.845438
24047877,,,2020-01-04T00:00:00,delivery,credit,paid,,,,,82.96,2.99,,6.11,8.30,,-1.95,-3.85,-4.15,source_excel | discount_for_order=-4.15,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.845664
24081752,,,2020-01-04T00:00:00,pickup,credit,paid,,,,,18.98,0.00,,1.40,2.85,,-1.95,-0.89,-0.95,source_excel | discount_for_order=-0.95,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.845892
24113358,,,2020-01-05T00:00:00,delivery,credit,paid,,,,,21.67,4.99,,1.60,3.25,,-1.95,-1.22,-1.08,source_excel | discount_for_order=-1.08,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.846118
24112751,,,2020-01-05T00:00:00,delivery,credit,paid,,,,,48.17,1.99,,3.55,7.23,,-1.95,-2.34,-2.41,source_excel | discount_for_order=-2.41,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.846343
24111585,,,2020-01-05T00:00:00,pickup,cash,authorized,,,,,37.36,0.00,,2.75,0.00,,-1.95,-0.00,-1.87,source_excel | discount_for_order=-1.87,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.846574
24107228,,,2020-01-05T00:00:00,pickup,credit,paid,,,,,35.57,0.00,,2.62,0.00,,-1.95,-1.34,-1.78,source_excel | discount_for_order=-1.78,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.846800
24112240,,,2020-01-05T00:00:00,pickup,credit,paid,,,,,11.99,0.00,,0.88,0.00,,-1.95,-0.49,-0.60,source_excel | discount_for_order=-0.60,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.847026
24111093,,,2020-01-05T00:00:00,pickup,credit,paid,,,,,33.34,0.00,,2.45,0.00,,-1.95,-1.36,-1.67,source_excel | discount_for_order=-1.67,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.847253
24091770,,,2020-01-05T00:00:00,pickup,credit,paid,,,,,21.98,0.00,,1.62,0.00,,-1.95,-0.90,-1.10,source_excel | discount_for_order=-1.10,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.847479
24112687,,,2020-01-05T00:00:00,pickup,credit,paid,,,,,29.46,0.00,,2.17,0.00,,-1.95,-1.21,-1.47,source_excel | discount_for_order=-1.47,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.847705
24104194,,,2020-01-05T00:00:00,pickup,credit,paid,,,,,20.98,0.00,,1.54,0.00,,-1.95,-0.86,-1.05,source_excel | discount_for_order=-1.05,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.847933
24101016,,,2020-01-05T00:00:00,pickup,credit,paid,,,,,15.17,0.00,,1.12,0.00,,-1.95,-0.62,-0.76,source_excel | discount_for_order=-0.76,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.848159
24151437,,,2020-01-07T00:00:00,delivery,credit,paid,,,,,22.93,1.99,,1.69,3.44,,-1.95,-1.16,-1.15,source_excel | discount_for_order=-1.15,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.848386
24152210,,,2020-01-07T00:00:00,delivery,credit,paid,,,,,25.97,1.99,,1.91,3.90,,-1.95,-1.30,-1.30,source_excel | discount_for_order=-1.30,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.848613
24138207,,,2020-01-07T00:00:00,pickup,credit,paid,,,,,8.99,0.00,,0.66,0.00,,-1.95,-0.37,-0.45,source_excel | discount_for_order=-0.45,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.848841
24151669,,,2020-01-07T00:00:00,delivery,cash,authorized,,,,,23.47,2.99,,1.73,0.00,,-1.95,-0.00,-1.17,source_excel | discount_for_order=-1.17,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.849066
24175893,,,2020-01-08T00:00:00,pickup,credit,paid,,,,,45.53,0.00,,3.35,0.00,,-1.95,-1.86,-2.28,source_excel | discount_for_order=-2.28,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.849296
24160768,,,2020-01-08T00:00:00,pickup,credit,paid,,,,,23.99,0.00,,1.77,0.00,,-1.95,-0.98,-1.20,source_excel | discount_for_order=-1.20,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.849522
24176588,,,2020-01-08T00:00:00,pickup,credit,paid,,,,,16.99,0.00,,1.25,0.00,,-1.95,-0.70,-0.85,source_excel | discount_for_order=-0.85,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.849748
24173256,,,2020-01-08T00:00:00,pickup,cash,authorized,,,,,17.74,0.00,,1.31,0.00,,-1.95,-0.00,-0.89,source_excel | discount_for_order=-0.89,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.849974
24168759,,,2020-01-08T00:00:00,delivery,credit,paid,,,,,35.96,1.99,,2.65,0.00,,-1.95,-1.55,-1.80,source_excel | discount_for_order=-1.80,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.850200
24176794,,,2020-01-08T00:00:00,pickup,credit,paid,,,,,22.97,0.00,,1.69,0.00,,-1.95,-0.94,-1.15,source_excel | discount_for_order=-1.15,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.850427
24202505,,,2020-01-09T00:00:00,pickup,credit,paid,,,,,51.95,0.00,,3.82,0.00,,-1.95,-2.01,-2.60,source_excel | discount_for_order=-2.60,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.850827
24196868,,,2020-01-09T00:00:00,pickup,cash,authorized,,,,,29.98,0.00,,2.21,0.00,,-1.95,-0.00,-1.50,source_excel | discount_for_order=-1.50,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.851065
24202258,,,2020-01-09T00:00:00,delivery,cash,authorized,,,,,18.76,4.99,,1.38,0.00,,-1.95,-0.00,-0.94,source_excel | discount_for_order=-0.94,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.851293
24195398,,,2020-01-09T00:00:00,delivery,credit,paid,,,,,37.70,1.99,,2.78,5.66,,-1.95,-1.85,-1.89,source_excel | discount_for_order=-1.89,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.851519
24211172,,,2020-01-10T00:00:00,pickup,credit,paid,,,,,16.99,0.00,,1.25,0.00,,-1.95,-0.70,-0.85,source_excel | discount_for_order=-0.85,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.851745
24247059,,,2020-01-10T00:00:00,pickup,credit,paid,,,,,33.92,0.00,,2.50,5.09,,-1.95,-1.59,-1.70,source_excel | discount_for_order=-1.70,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.851970
24246637,,,2020-01-10T00:00:00,delivery,credit,paid,,,,,31.98,6.99,,2.35,4.80,,-1.95,-1.78,-1.60,source_excel | discount_for_order=-1.60,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.852199
24248152,,,2020-01-10T00:00:00,pickup,credit,paid,,,,,19.33,0.00,,1.42,2.90,,-1.95,-0.91,-0.97,source_excel | discount_for_order=-0.97,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.852431
24241945,,,2020-01-10T00:00:00,delivery,credit,paid,,,,,29.98,4.99,,2.21,4.50,,-1.95,-1.61,-1.50,source_excel | discount_for_order=-1.50,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.852658
24244384,,,2020-01-10T00:00:00,delivery,credit,paid,,,,,16.73,1.99,,1.23,2.51,,-1.95,-0.74,-0.84,source_excel | discount_for_order=-0.84,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.852884
24233398,,,2020-01-10T00:00:00,pickup,credit,paid,,,,,21.98,0.00,,1.62,0.00,,-1.95,-0.90,-1.10,source_excel | discount_for_order=-1.10,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.853111
24245555,,,2020-01-10T00:00:00,delivery,credit,paid,,,,,38.17,1.99,,2.81,5.73,,-1.95,-1.87,-1.91,source_excel | discount_for_order=-1.91,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.853337
24246561,,,2020-01-10T00:00:00,pickup,credit,paid,,,,,33.97,0.00,,2.50,0.00,,-1.95,-1.39,-1.70,source_excel | discount_for_order=-1.70,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.853563
24244787,,,2020-01-10T00:00:00,delivery,credit,paid,,,,,30.72,1.99,,2.26,0.00,,-1.95,-1.34,-1.54,source_excel | discount_for_order=-1.54,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.853788
24244657,,,2020-01-10T00:00:00,pickup,credit,paid,,,,,23.97,0.00,,1.76,2.40,,-1.95,-1.08,-1.20,source_excel | discount_for_order=-1.20,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.854014
24231783,,,2020-01-10T00:00:00,pickup,credit,paid,,,,,19.47,0.00,,1.43,0.00,,-1.95,-0.80,-0.97,source_excel | discount_for_order=-0.97,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.854239
24210170,,,2020-01-10T00:00:00,delivery,credit,paid,,,,,112.09,1.99,,8.25,16.81,,-1.95,-5.34,-5.60,source_excel | discount_for_order=-5.60,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.854464
24246040,,,2020-01-10T00:00:00,pickup,credit,paid,,,,,8.99,0.00,,0.66,1.35,,-1.95,-0.42,-0.45,source_excel | discount_for_order=-0.45,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.854686
24242202,,,2020-01-10T00:00:00,pickup,credit,paid,,,,,19.39,0.00,,1.43,2.91,,-1.95,-0.91,-0.97,source_excel | discount_for_order=-0.97,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.854910
24239212,,,2020-01-10T00:00:00,pickup,credit,paid,,,,,35.45,0.00,,2.61,5.32,,-1.95,-1.66,-1.77,source_excel | discount_for_order=-1.77,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.855136
24247566,,,2020-01-10T00:00:00,delivery,credit,paid,,,,,38.92,1.99,,2.87,5.84,,-1.95,-1.91,-1.95,source_excel | discount_for_order=-1.95,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.855361
24210984,,,2020-01-10T00:00:00,pickup,credit,paid,,,,,13.58,0.00,,1.00,0.00,,-1.95,-0.56,-0.68,source_excel | discount_for_order=-0.68,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.855587
24293128,,,2020-01-11T00:00:00,pickup,credit,paid,,,,,28.25,0.00,,2.08,2.83,,-1.95,-1.27,-1.41,source_excel | discount_for_order=-1.41,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.855812
24258501,,,2020-01-11T00:00:00,pickup,cash,authorized,,,,,28.12,0.00,,2.07,0.00,,-1.95,-0.00,-1.41,source_excel | discount_for_order=-1.41,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.856040
24282281,,,2020-01-11T00:00:00,delivery,credit,paid,,,,,33.72,1.99,,2.48,5.06,,-1.95,-1.66,-1.69,source_excel | discount_for_order=-1.69,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.856266
24291166,,,2020-01-11T00:00:00,pickup,credit,paid,,,,,19.98,0.00,,1.47,0.00,,-1.95,-0.82,-1.00,source_excel | discount_for_order=-1.00,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.856491
24284104,,,2020-01-11T00:00:00,pickup,credit,paid,,,,,28.98,0.00,,2.13,0.00,,-1.95,-1.19,-1.45,source_excel | discount_for_order=-1.45,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.856723
24261200,,,2020-01-11T00:00:00,pickup,credit,paid,,,,,13.47,0.00,,0.99,0.00,,-1.95,-0.55,-0.67,source_excel | discount_for_order=-0.67,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.856957
24260390,,,2020-01-11T00:00:00,pickup,credit,paid,,,,,22.98,0.00,,1.69,0.00,,-1.95,-0.94,-1.15,source_excel | discount_for_order=-1.15,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.857186
24286630,,,2020-01-11T00:00:00,delivery,credit,paid,,,,,41.54,1.99,,3.06,6.23,,-1.95,-2.03,-2.08,source_excel | discount_for_order=-2.08,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.857412
24311581,,,2020-01-12T00:00:00,pickup,credit,paid,,,,,28.97,0.00,,2.13,3.00,,-1.95,-1.31,-1.45,source_excel | discount_for_order=-1.45,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.857640
24320326,,,2020-01-12T00:00:00,delivery,credit,paid,,,,,35.96,2.99,,2.65,5.39,,-1.95,-1.81,-1.80,source_excel | discount_for_order=-1.80,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.857867
24317395,,,2020-01-12T00:00:00,delivery,credit,paid,,,,,34.72,4.99,,2.56,3.47,,-1.95,-1.76,-1.74,source_excel | discount_for_order=-1.74,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.858095
24320915,,,2020-01-12T00:00:00,delivery,cash,authorized,,,,,44.06,1.99,,3.24,0.00,,-1.95,-0.00,-2.20,source_excel | discount_for_order=-2.20,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.858318
24300578,,,2020-01-12T00:00:00,pickup,credit,paid,,,,,31.67,0.00,,2.33,4.75,,-1.95,-1.49,-1.58,source_excel | discount_for_order=-1.58,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.858546
24341634,,,2020-01-13T00:00:00,pickup,credit,paid,,,,,71.47,0.00,,5.26,0.00,,-1.95,-2.93,-3.57,source_excel | discount_for_order=-3.57,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.858774
24342955,,,2020-01-13T00:00:00,pickup,credit,paid,,,,,17.97,0.00,,1.32,0.00,,-1.95,-0.74,-0.90,source_excel | discount_for_order=-0.90,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.859001
24343277,,,2020-01-13T00:00:00,pickup,credit,paid,,,,,22.57,0.00,,1.66,0.00,,-1.95,-0.92,-1.13,source_excel | discount_for_order=-1.13,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.859234
24338859,,,2020-01-13T00:00:00,pickup,credit,paid,,,,,37.15,0.00,,2.73,3.71,,-1.95,-1.67,-1.86,source_excel | discount_for_order=-1.86,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.859457
24362054,,,2020-01-14T00:00:00,delivery,credit,paid,,,,,16.99,1.99,,1.25,2.55,,-1.95,-0.88,-0.85,source_excel | discount_for_order=-0.85,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.859682
24364450,,,2020-01-14T00:00:00,pickup,credit,paid,,,,,11.47,0.00,,0.84,0.00,,-1.95,-0.47,-0.57,source_excel | discount_for_order=-0.57,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.859909
24371535,,,2020-01-15T00:00:00,pickup,credit,paid,,,,,82.90,0.00,,6.10,0.00,,-1.95,-3.39,-4.15,source_excel | discount_for_order=-4.15,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.860135
24387708,,,2020-01-15T00:00:00,delivery,credit,paid,,,,,39.55,1.99,,2.91,5.93,,-1.95,-1.94,-1.98,source_excel | discount_for_order=-1.98,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.860364
24416962,,,2020-01-16T00:00:00,pickup,credit,paid,,,,,12.99,0.00,,0.96,1.95,,-1.95,-0.61,-0.65,source_excel | discount_for_order=-0.65,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.860937
24397114,,,2020-01-16T00:00:00,pickup,credit,paid,,,,,14.95,0.00,,1.10,0.00,,-1.95,-0.61,-0.75,source_excel | discount_for_order=-0.75,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.861403
24404301,,,2020-01-16T00:00:00,delivery,credit,paid,,,,,29.72,1.99,,2.19,4.46,,-1.95,-1.47,-1.49,source_excel | discount_for_order=-1.49,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.861690
24412066,,,2020-01-16T00:00:00,pickup,credit,paid,,,,,9.99,0.00,,0.74,0.00,,-1.95,-0.41,-0.50,source_excel | discount_for_order=-0.50,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.861949
24417693,,,2020-01-16T00:00:00,pickup,credit,paid,,,,,13.74,0.00,,1.01,0.00,,-1.95,-0.56,-0.69,source_excel | discount_for_order=-0.69,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.862207
24416764,,,2020-01-16T00:00:00,pickup,credit,paid,,,,,30.72,0.00,,2.26,4.61,,-1.95,-1.44,-1.54,source_excel | discount_for_order=-1.54,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.862563
24396433,,,2020-01-16T00:00:00,pickup,cash,authorized,,,,,12.99,0.00,,0.96,0.00,,-1.95,-0.00,-0.65,source_excel | discount_for_order=-0.65,,,,All Orders Aroma.xlsx,,2026-02-10T15:40:32.862903
