transaction id,transaction date,account name,transaction description,transaction line description,amount (one column),,debit amount (two column approach),credit amount (two column approach),other accounts for this transaction,customer,vendor,invoice number,bill number,notes / memo,amount before sales tax,sales tax amount,sales tax name,transaction date added,transaction date last modified,account group,account type,account id,source_accounting_file,wave_account
1018221629450233357,2019-05-03,Uncategorized Income,SLICE DES:SLICE ID:ST-P5Y6U7V9K7L1 INDN:SAHA PIZZA INC CO ID:1800948598 CCD,,2411.78,,,2411.78,Business Advantage Chk (951),,,,,,2411.78,,,2020-08-24,2020-08-24,Income,Uncategorized Income,,Takeout/wave_ameci/accounting.csv,ameci
1018221495299614020,2019-06-04,Uncategorized Income,SLICE DES:SLICE ID:ST-F7R1Y5N8M5P0 INDN:SAHA PIZZA INC CO ID:1800948598 CCD,,4098.85,,,4098.85,Business Advantage Chk (951),,,,,,4098.85,,,2020-08-24,2020-08-24,Income,Uncategorized Income,,Takeout/wave_ameci/accounting.csv,ameci
1018221348087931954,2019-07-03,Uncategorized Income,SLICE DES:SLICE ID:ST-A2E4T3W1O4K6 INDN:SAHA PIZZA INC CO ID:1800948598 CCD,,4371.74,,,4371.74,Business Advantage Chk (951),,,,,,4371.74,,,2020-08-24,2020-08-24,Income,Uncategorized Income,,Takeout/wave_ameci/accounting.csv,ameci
1018221226193070054,2019-08-05,Uncategorized Income,SLICE DES:SLICE ID:ST-R2E7C2U0N2G8 INDN:SAHA PIZZA INC CO ID:1800948598 CCD,,3332.67,,,3332.67,Business Advantage Chk (951),,,,,,3332.67,,,2020-08-24,2020-08-24,Income,Uncategorized Income,,Takeout/wave_ameci/accounting.csv,ameci
1018221034647594340,2019-09-04,Uncategorized Income,SLICE DES:SLICE ID:ST-C2U3U8F9Q2C2 INDN:SAHA PIZZA INC CO ID:1800948598 CCD,,3514.58,,,3514.58,Business Advantage Chk (951),,,,,,3514.58,,,2020-08-24,2020-08-24,Income,Uncategorized Income,,Takeout/wave_ameci/accounting.csv,ameci
1018220856406452057,2019-10-03,Uncategorized Income,SLICE DES:SLICE ID:ST-M5K4F3Y2R6K3 INDN:SAHA PIZZA INC CO ID:1800948598 CCD,,3813.55,,,3813.55,Business Advantage Chk (951),,,,,,3813.55,,,2020-08-24,2020-08-24,Income,Uncategorized Income,,Takeout/wave_ameci/accounting.csv,ameci
1018220655105025206,2019-11-05,Uncategorized Income,SLICE DES:SLICE ID:ST-V2T6G4R0N0X5 INDN:SAHA PIZZA INC CO ID:1800948598 CCD,,3078.97,,,3078.97,Business Advantage Chk (951),,,,,,3078.97,,,2020-08-24,2020-08-24,Income,Uncategorized Income,,Takeout/wave_ameci/accounting.csv,ameci
1018220486049408782,2019-12-03,Uncategorized Income,SLICE DES:SLICE ID:ST-O2G6X0J6E6C2 INDN:SAHA PIZZA INC CO ID:1800948598 CCD,,3966.19,,,3966.19,Business Advantage Chk (951),,,,,,3966.19,,,2020-08-24,2020-08-24,Income,Uncategorized Income,,Takeout/wave_ameci/accounting.csv,ameci
1018220300543730846,2020-01-03,Sales,SLICE DES:SLICE ID:ST-A1E0I3O4K7O8 INDN:SAHA PIZZA INC CO ID:1800948598 CCD,,4119.76,,,4119.76,Business Advantage Chk (951),,,,,,4119.76,,,2020-08-24,2020-08-25,Income,Income,,Takeout/wave_ameci/accounting.csv,ameci
1018220086642615543,2020-02-04,Sales,SLICE DES:SLICE ID:ST-B6Z4K2U8I7Z4 INDN:SAHA PIZZA INC CO ID:1800948598 CCD,,3593.85,,,3593.85,Business Advantage Chk (951),,,,,,3593.85,,,2020-08-24,2020-08-25,Income,Income,,Takeout/wave_ameci/accounting.csv,ameci
