transaction id,transaction date,account name,transaction description,transaction line description,amount (one column),,debit amount (two column approach),credit amount (two column approach),other accounts for this transaction,customer,vendor,invoice number,bill number,notes / memo,amount before sales tax,sales tax amount,sales tax name,transaction date added,transaction date last modified,account group,account type,account id,source_accounting_file,wave_account
1016873280478389951,2019-05-03,Sales,SLICE DES:SLICE ID:ST-X1N7T6O9L0D1 INDN:ACE A ROMA INC CO ID:1800948598 CCD,,3307.76,,,3307.76,Business Advantage Chk (602),,,,,,3307.76,,,2020-08-21,2020-08-23,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1016873169975256827,2019-06-04,Sales,SLICE DES:SLICE ID:ST-C0X2W8O8M3R6 INDN:ACE A ROMA INC CO ID:1800948598 CCD,,3477.31,,,3477.31,Business Advantage Chk (602),,,,,,3477.31,,,2020-08-21,2020-08-23,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1016873060159989551,2019-07-03,Sales,SLICE DES:SLICE ID:ST-F8Z9Y8Y5M9Z4 INDN:ACE A ROMA INC CO ID:1800948598 CCD,,4128.95,,,4128.95,Business Advantage Chk (602),,,,,,4128.95,,,2020-08-21,2020-08-23,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1016872919600473727,2019-08-05,Sales,SLICE DES:SLICE ID:ST-X8W0D6N3M6J3 INDN:ACE A ROMA INC CO ID:1800948598 CCD,,3991.07,,,3991.07,Business Advantage Chk (602),,,,,,3991.07,,,2020-08-21,2020-08-23,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1016872808317200084,2019-09-04,Sales,SLICE DES:SLICE ID:ST-M7H3W3G7X0G8 INDN:ACE A ROMA INC CO ID:1800948598 CCD,,4561.87,,,4561.87,Business Advantage Chk (602),,,,,,4561.87,,,2020-08-21,2020-08-23,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1016872687059871449,2019-10-03,Sales,SLICE DES:SLICE ID:ST-P6N4H9B2V6T3 INDN:ACE A ROMA INC CO ID:1800948598 CCD,,5486.1,,,5486.1,Business Advantage Chk (602),,,,,,5486.1,,,2020-08-21,2020-08-23,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1016872532969530840,2019-11-05,Sales,SLICE DES:SLICE ID:ST-U2J7M2Z1E2F4 INDN:ACE A ROMA INC CO ID:1800948598 CCD,,5999.31,,,5999.31,Business Advantage Chk (602),,,,,,5999.31,,,2020-08-21,2020-08-23,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1016872408583251431,2019-12-03,Sales,SLICE DES:SLICE ID:ST-A0T7T1I1J3E4 INDN:ACE A ROMA INC CO ID:1800948598 CCD,,4350.67,,,4350.67,Business Advantage Chk (602),,,,,,4350.67,,,2020-08-21,2020-08-23,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1016872277133763989,2020-01-03,Sales,SLICE DES:SLICE ID:ST-U0G0C1V5A2Z1 INDN:ACE AN AROMA INC CO ID:1800948598 CCD,,5018.45,,,5018.45,Business Advantage Chk (602),,,,,,5018.45,,,2020-08-21,2020-08-23,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1016872157596099999,2020-02-04,Sales,SLICE DES:SLICE ID:ST-U0Y6Q7R8V4W7 INDN:ACE AN AROMA INC CO ID:1800948598 CCD,,6040.73,,,6040.73,Business Advantage Chk (602),,,,,,6040.73,,,2020-08-21,2020-08-23,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1016872035432801705,2020-03-03,Sales,SLICE DES:SLICE ID:ST-B1C5M6E3S2I3 INDN:ACE AN AROMA INC CO ID:1800948598 CCD,,4703.86,,,4703.86,Business Advantage Chk (602),,,,,,4703.86,,,2020-08-21,2020-08-23,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
