SKU,Description,Qty,Unit Price,Extended
10-10,SNOW FAMILY -10 ea,12,4.25,51.00
10-11,SNOW FAMILY 11 ea,12,4.25,51.00
10-12,SNOW FAMILY 12 ea,12,4.25,51.00
10-7,SNOW FAMILY 7 ea,24,4.25,102.00
10-8,SNOW FAMILY 8 ea,12,4.25,51.00
10-9,SNOW FAMILY 9 ea,12,4.25,51.00
1121,FOOTBALL FIELD ea,24,4.25,102.00
1123,BASEBALL DIAMOND ea,24,4.25,102.00
1229,CHIMNEY SANTA ea,12,4.25,51.00
1280,1ST DAY OF SCHOOL GIRL ea,12,4.25,51.00
1282,PALS GIRL W DOG ea,12,4.25,51.00
1338,TUXEDO CAT IN WREATH ea,12,4.25,51.00
144,WEDDING ATTIRE ea,12,4.25,51.00
145,ENGAGED ea,12,4.00,48.00
1579BB,MEGAPHONE CHEERLEADER BLUE BROWN ea,24,4.25,102.00
1596,Boy With Dog ea,12,4.25,51.00
1632,COUPLE WITH DOG ea,24,4.25,102.00
1632B,COUPLE W BLACK DOG ea,12,4.25,51.00
1664,BICYCLE GIRL ea,12,4.25,51.00
1666,WORLD TRAVELERS ea,12,4.25,51.00
1720,Soccer Kick Boy ea,24,4.25,102.00
1721,Soccer Kick Girl ea,24,4.25,102.00
1722,Football Toss ea,24,4.25,102.00
1723,Baseball Hit Boy ea,24,4.25,102.00
1727,Softball Hit Girl ea,12,4.25,51.00
1728,Volleyball Serve Girl ea,12,4.25,51.00
1735,KARATE BOY ea,12,4.25,51.00
1736,KARATE GIRL ea,12,4.25,51.00
174,AMBULANCE ea,12,4.00,48.00
1779G,JOGGER GIRL ea,12,4.25,51.00
1820,SURFBOARD ea,24,4.00,96.00
1840,BEST DOG EVER ea,24,4.00,96.00
2050,NANA ea,12,4.00,48.00
222,PRINCESS CROWN PINK ea,12,4.25,51.00
222PU,PRINCESS CROWN PURPLE ea,12,4.25,51.00
226,COAL STOCKING ea,12,4.00,48.00
242,BOW FRAME ea,36,4.25,153.00
252,BEAR HEART STOCKING ea,12,4.00,48.00
270,DOG BONE FRAME ea,36,4.25,153.00
273,DANCER ea,24,4.25,102.00
276,DORM ROOM ea,12,4.00,48.00
278,GLITTER STOCKING ea,12,4.00,48.00
2G-10,GREEN GLITTER TREE 10 ea,12,4.75,57.00
2G-12,GREEN GLITTER TREE 12 ea,12,4.75,57.00
2G-15,GREEN GLITTER TREE 15 ea,12,4.75,57.00
2G-7,GREEN CHRISTMAS TREE 7 ea,12,4.25,51.00
2G-8,GREEN CHRISTMAS TREE 8 ea,12,4.25,51.00
302,NEW DRIVER ea,12,4.00,48.00
337,GRANDMA ea,12,4.00,48.00
355,ORNAMENT PHOTO ea,24,4.25,102.00
368,CHRISTMAS PHOTO ea,48,4.25,204.00
382,CHRISTMAS COUPLE W CAT ea,24,4.00,96.00
407,MITTEN WREATH 15 ea,12,4.50,54.00
442,FLYING ea,24,4.00,96.00
46,DRAMA STAR ea,12,4.00,48.00
65,DOG GONE CUTE BONE ea,24,4.00,96.00
67,SPORT BIKE ea,12,4.00,48.00
69,MOTORCYCLE ea,12,4.00,48.00
729,I DO ea,12,4.25,51.00
75,OUR 1ST AS MR AND MRS ea,12,4.00,48.00
750RB,SOCCER BOY RED BROWN ea,24,4.25,102.00
750RY,SOCCER BOY RED BLONDE ea,12,4.25,51.00
751RB,SOCCER GIRL RED BROWN ea,24,4.25,102.00
751RY,SOCCER GIRL RED BLONDE ea,12,4.25,51.00
755,FOOTBALL BOY ea,24,4.25,102.00
790B,GRADUATE GIRL BROWN ea,12,4.25,51.00
790Y,GRADUATE GIRL BLONDE ea,12,4.25,51.00
791B,GRADUATE BOY BROWN ea,12,4.25,51.00
791Y,GRADUATE BOY BLONDE ea,12,4.25,51.00
8-7,GINGERBREAD FAMILY 7 ea,24,4.50,108.00
80,ENGAGED ea,24,4.00,96.00
84,NEW PARENTS ea,24,4.00,96.00
857B,WEIGHTLIFTER BROWN ea,24,4.25,102.00
873B,EQUESTRIAN HORSE GIRL BROWN ea,12,4.25,51.00
91,MUSIC ea,12,4.00,48.00
94,MERRY CHRISTMAS ea,24,4.00,96.00
96,MARCHING BAND ea,12,4.00,48.00
HH143,CRUISE SHIP ea,12,4.00,48.00
HH38,PINK PRINCESS ea,12,4.00,48.00
